account_id,account_age_days,customer_type,city,kyc_status,is_mule
ACC100069,2353,Business,Hyderabad,Pending,False
ACC100070,347,Individual,Delhi,Pending,False
ACC100071,888,Individual,Kolkata,Verified,False
ACC100072,1086,Business,Chennai,Pending,False
ACC100073,801,Business,Delhi,Verified,False
ACC100074,2274,Business,Hyderabad,Verified,False
ACC100075,773,Individual,Pune,Verified,False
ACC100076,2245,Individual,Ahmedabad,Verified,False
ACC100077,389,Individual,Mumbai,Verified,False
ACC100078,502,Individual,Mumbai,Verified,False
ACC100079,1190,Business,Mumbai,Verified,False
ACC100080,2072,Individual,Mumbai,Pending,False
ACC100081,74,Business,Chennai,Verified,False
ACC100082,1377,Business,Hyderabad,Verified,False
ACC100083,1162,Business,Delhi,Verified,False
ACC100084,2037,Business,Pune,Verified,False
ACC100085,1505,Individual,Ahmedabad,Verified,False
ACC100086,1172,Individual,Hyderabad,Verified,False
ACC100087,1532,Individual,Pune,Verified,False
ACC100088,401,Individual,Pune,Verified,False
ACC100089,1708,Individual,Ahmedabad,Verified,True
ACC100090,428,Individual,Chennai,Verified,False
ACC100091,2346,Individual,Chennai,Verified,False
ACC100092,388,Individual,Delhi,Verified,False
ACC100093,1806,Business,Hyderabad,Verified,False
ACC100094,2288,Individual,Chennai,Pending,False
ACC100095,2098,Business,Bengaluru,Verified,True
ACC100096,2192,Business,Chennai,Verified,False
ACC100097,210,Individual,Pune,Verified,False
ACC100098,1873,Business,Delhi,Pending,False
ACC100099,789,Business,Bengaluru,Verified,False
ACC100100,512,Individual,Delhi,Verified,False
ACC100101,2464,Business,Delhi,Pending,False
ACC100102,1761,Individual,Bengaluru,Verified,False
ACC100103,814,Business,Bengaluru,Verified,False
ACC100104,2156,Individual,Hyderabad,Verified,True
ACC100105,1905,Business,Kolkata,Verified,False
ACC100106,1580,Individual,Delhi,Verified,False
ACC100107,970,Business,Bengaluru,Verified,False
ACC100108,1495,Business,Kolkata,Verified,False
ACC100109,1038,Business,Delhi,Verified,False
ACC100110,512,Business,Bengaluru,Pending,False
ACC100111,407,Individual,Hyderabad,Pending,False
ACC100112,880,Business,Chennai,Verified,False
ACC100113,402,Individual,Bengaluru,Verified,False
ACC100114,216,Business,Pune,Verified,True
ACC100115,1048,Individual,Chennai,Verified,False
ACC100116,1891,Business,Pune,Verified,False
ACC100117,1494,Individual,Chennai,Verified,False
ACC100118,873,Business,Bengaluru,Verified,False
ACC100119,573,Business,Pune,Verified,False
ACC100120,1030,Business,Mumbai,Pending,False
ACC100121,105,Individual,Chennai,Verified,False
ACC100122,1933,Business,Bengaluru,Verified,False
ACC100123,1767,Business,Kolkata,Verified,False
ACC100124,2288,Business,Pune,Verified,False
ACC100125,1688,Business,Chennai,Pending,False
ACC100126,550,Business,Kolkata,Verified,False
ACC100127,1069,Individual,Hyderabad,Pending,False
ACC100128,1193,Business,Delhi,Verified,False
ACC100129,1732,Business,Bengaluru,Verified,False
ACC100130,1829,Business,Hyderabad,Pending,False
ACC100131,1607,Business,Ahmedabad,Pending,False
ACC100132,805,Business,Hyderabad,Pending,False
ACC100133,1061,Individual,Mumbai,Verified,False
ACC100134,1653,Business,Mumbai,Verified,False
ACC100135,1373,Business,Hyderabad,Verified,False
ACC100136,1991,Individual,Bengaluru,Verified,False
ACC100137,1364,Individual,Ahmedabad,Verified,False
ACC100138,1673,Business,Kolkata,Verified,False
ACC100139,1539,Business,Ahmedabad,Pending,False
ACC100140,2048,Individual,Delhi,Verified,False
ACC100141,1506,Individual,Kolkata,Verified,False
ACC100142,2247,Individual,Ahmedabad,Verified,True
ACC100143,1418,Individual,Mumbai,Pending,False
ACC100144,1410,Individual,Ahmedabad,Verified,False
ACC100145,1316,Business,Kolkata,Pending,False
ACC100146,982,Individual,Ahmedabad,Pending,False
ACC100147,1778,Business,Hyderabad,Verified,False
ACC100148,1292,Business,Hyderabad,Verified,False
ACC100149,719,Business,Mumbai,Verified,False
ACC100150,1489,Individual,Chennai,Verified,False
ACC100151,1444,Business,Mumbai,Verified,False
ACC100152,658,Individual,Hyderabad,Pending,False
ACC100153,327,Individual,Hyderabad,Verified,False
ACC100154,1267,Business,Kolkata,Verified,False
ACC100155,693,Business,Kolkata,Verified,False
ACC100156,673,Individual,Kolkata,Pending,False
ACC100157,2008,Individual,Kolkata,Pending,False
ACC100158,1641,Individual,Pune,Verified,False
ACC100159,1505,Business,Kolkata,Verified,False
ACC100160,1146,Business,Hyderabad,Verified,False
ACC100161,1863,Business,Ahmedabad,Verified,False
ACC100162,1530,Business,Pune,Pending,False
ACC100163,2499,Individual,Ahmedabad,Verified,False
ACC100164,573,Individual,Kolkata,Verified,False
ACC100165,1301,Individual,Kolkata,Verified,False
ACC100166,1646,Business,Delhi,Verified,False
ACC100167,708,Business,Kolkata,Verified,False
ACC100168,2170,Individual,Ahmedabad,Verified,False
ACC100169,11,Business,Kolkata,Verified,False
ACC100170,651,Business,Chennai,Verified,False
ACC100171,2277,Business,Bengaluru,Verified,False
ACC100172,1599,Business,Hyderabad,Verified,False
ACC100173,864,Individual,Bengaluru,Verified,False
ACC100174,1769,Individual,Bengaluru,Verified,False
ACC100175,2442,Individual,Delhi,Pending,False
ACC100176,1671,Individual,Hyderabad,Pending,False
ACC100177,1163,Business,Pune,Verified,False
ACC100178,1086,Individual,Delhi,Verified,False
ACC100179,1717,Individual,Bengaluru,Verified,False
ACC100180,1705,Business,Kolkata,Verified,False
ACC100181,1743,Individual,Hyderabad,Verified,False
ACC100182,1449,Business,Mumbai,Verified,False
ACC100183,2304,Business,Kolkata,Verified,False
ACC100184,845,Individual,Pune,Verified,False
ACC100185,212,Business,Ahmedabad,Verified,False
ACC100186,132,Business,Pune,Pending,False
ACC100187,410,Individual,Kolkata,Verified,False
ACC100188,776,Business,Ahmedabad,Pending,False
ACC100189,303,Business,Chennai,Verified,False
ACC100190,2337,Individual,Mumbai,Verified,False
ACC100191,207,Business,Hyderabad,Pending,False
ACC100192,1940,Business,Pune,Verified,False
ACC100193,2201,Business,Pune,Verified,False
ACC100194,618,Business,Hyderabad,Verified,False
ACC100195,1157,Business,Pune,Verified,False
ACC100196,196,Business,Bengaluru,Verified,False
ACC100197,1804,Individual,Hyderabad,Pending,False
ACC100198,669,Business,Hyderabad,Pending,False
ACC100199,1965,Business,Ahmedabad,Verified,False
ACC100200,2460,Individual,Chennai,Verified,False
ACC100201,1379,Business,Hyderabad,Verified,False
ACC100202,1996,Business,Ahmedabad,Verified,False
ACC100203,1544,Business,Pune,Verified,True
ACC100204,156,Business,Chennai,Verified,False
ACC100205,1744,Business,Hyderabad,Verified,False
ACC100206,1853,Individual,Pune,Verified,False
ACC100207,498,Individual,Hyderabad,Verified,False
ACC100208,1969,Business,Chennai,Verified,False
ACC100209,1673,Individual,Hyderabad,Verified,False
ACC100210,2395,Individual,Pune,Verified,False
ACC100211,650,Business,Bengaluru,Verified,False
ACC100212,1812,Business,Bengaluru,Verified,False
ACC100213,1979,Business,Delhi,Pending,False
ACC100214,2208,Individual,Bengaluru,Verified,False
ACC100215,1448,Business,Ahmedabad,Pending,False
ACC100216,1644,Business,Delhi,Verified,False
ACC100217,272,Business,Ahmedabad,Verified,False
ACC100218,1797,Individual,Kolkata,Pending,False
ACC100219,2201,Individual,Bengaluru,Verified,False
ACC100220,2403,Individual,Chennai,Verified,False
ACC100221,633,Individual,Mumbai,Pending,False
ACC100222,1026,Individual,Kolkata,Pending,False
ACC100223,890,Business,Chennai,Pending,True
ACC100224,2059,Business,Bengaluru,Verified,False
ACC100225,1337,Individual,Hyderabad,Verified,False
ACC100226,2311,Individual,Delhi,Verified,False
ACC100227,462,Individual,Mumbai,Verified,False
ACC100228,1193,Individual,Kolkata,Pending,True
ACC100229,2066,Business,Chennai,Verified,False
ACC100230,1692,Individual,Chennai,Verified,False
ACC100231,2265,Business,Mumbai,Verified,False
ACC100232,1164,Business,Hyderabad,Pending,False
ACC100233,413,Individual,Hyderabad,Verified,False
ACC100234,2209,Business,Delhi,Verified,False
ACC100235,2111,Individual,Delhi,Verified,False
ACC100236,1706,Business,Ahmedabad,Verified,False
ACC100237,637,Business,Chennai,Pending,False
ACC100238,596,Business,Ahmedabad,Pending,True
ACC100239,1658,Individual,Bengaluru,Pending,False
ACC100240,1453,Business,Chennai,Verified,False
ACC100241,1455,Individual,Hyderabad,Verified,False
ACC100242,113,Business,Bengaluru,Verified,False
ACC100243,263,Business,Ahmedabad,Verified,False
ACC100244,1506,Individual,Kolkata,Pending,False
ACC100245,108,Individual,Ahmedabad,Verified,False
ACC100246,2210,Business,Pune,Verified,False
ACC100247,1894,Individual,Delhi,Verified,False
ACC100248,1929,Business,Ahmedabad,Verified,False
ACC100249,887,Business,Bengaluru,Pending,False
ACC100250,347,Individual,Pune,Verified,True
ACC100251,966,Business,Mumbai,Pending,False
ACC100252,1714,Individual,Ahmedabad,Pending,False
ACC100253,170,Individual,Hyderabad,Verified,False
ACC100254,1613,Business,Ahmedabad,Verified,False
ACC100255,407,Individual,Chennai,Verified,False
ACC100256,1310,Business,Ahmedabad,Pending,False
ACC100257,825,Individual,Bengaluru,Verified,False
ACC100258,1537,Individual,Chennai,Verified,False
ACC100259,1929,Business,Mumbai,Verified,False
ACC100260,1425,Individual,Ahmedabad,Verified,False
ACC100261,1168,Individual,Ahmedabad,Verified,False
ACC100262,1228,Business,Kolkata,Pending,False
ACC100263,410,Business,Hyderabad,Pending,False
ACC100264,649,Individual,Kolkata,Verified,False
ACC100265,469,Individual,Mumbai,Verified,False
ACC100266,964,Business,Pune,Verified,False
ACC100267,479,Individual,Chennai,Verified,False
ACC100268,1055,Business,Delhi,Pending,False
ACC100269,1703,Business,Pune,Verified,False
ACC100270,2095,Business,Ahmedabad,Verified,False
ACC100271,2287,Individual,Hyderabad,Pending,False
ACC100272,572,Individual,Kolkata,Verified,False
ACC100273,2495,Business,Ahmedabad,Pending,False
ACC100274,1809,Business,Delhi,Pending,False
ACC100275,2084,Individual,Delhi,Verified,False
ACC100276,235,Individual,Ahmedabad,Verified,False
ACC100277,807,Business,Bengaluru,Verified,False
ACC100278,2341,Business,Delhi,Verified,False
ACC100279,969,Business,Chennai,Verified,False
ACC100280,1514,Business,Mumbai,Verified,False
ACC100281,462,Business,Pune,Pending,True
ACC100282,825,Individual,Mumbai,Verified,False
ACC100283,668,Business,Hyderabad,Verified,False
ACC100284,556,Business,Mumbai,Verified,False
ACC100285,1225,Business,Delhi,Verified,False
ACC100286,26,Individual,Bengaluru,Verified,False
ACC100287,1253,Individual,Chennai,Verified,False
ACC100288,2215,Business,Kolkata,Verified,False
ACC100289,1079,Individual,Kolkata,Verified,False
ACC100290,2156,Individual,Delhi,Verified,False
ACC100291,1778,Business,Hyderabad,Pending,False
ACC100292,1070,Individual,Hyderabad,Pending,False
ACC100293,2337,Business,Ahmedabad,Verified,False
ACC100294,311,Individual,Ahmedabad,Verified,False
ACC100295,190,Individual,Mumbai,Pending,False
ACC100296,616,Business,Chennai,Pending,False
ACC100297,709,Business,Ahmedabad,Verified,False
ACC100298,1002,Individual,Kolkata,Pending,False
ACC100299,1149,Individual,Hyderabad,Pending,False
ACC100300,200,Business,Chennai,Verified,False
ACC100301,2310,Individual,Kolkata,Verified,False
ACC100302,990,Individual,Bengaluru,Pending,False
ACC100303,2016,Business,Hyderabad,Verified,False
ACC100304,1194,Individual,Hyderabad,Verified,False
ACC100305,137,Individual,Mumbai,Verified,False
ACC100306,2075,Business,Ahmedabad,Verified,False
ACC100307,1826,Business,Delhi,Verified,False
ACC100308,1768,Business,Pune,Pending,False
ACC100309,579,Individual,Hyderabad,Verified,False
ACC100310,1356,Business,Chennai,Verified,False
ACC100311,1905,Business,Ahmedabad,Verified,False
ACC100312,635,Business,Mumbai,Pending,False
ACC100313,1696,Individual,Delhi,Verified,False
ACC100314,164,Business,Pune,Verified,False
ACC100315,1419,Business,Bengaluru,Verified,False
ACC100316,794,Individual,Ahmedabad,Verified,False
ACC100317,255,Business,Kolkata,Verified,False
ACC100318,1510,Individual,Hyderabad,Pending,False
ACC100319,1715,Individual,Pune,Verified,False
ACC100320,547,Individual,Ahmedabad,Verified,False
ACC100321,1900,Business,Mumbai,Verified,False
ACC100322,1851,Individual,Bengaluru,Verified,False
ACC100323,930,Business,Mumbai,Verified,False
ACC100324,2465,Individual,Delhi,Pending,False
ACC100325,534,Business,Pune,Pending,False
ACC100326,1539,Individual,Kolkata,Verified,False
ACC100327,45,Business,Kolkata,Verified,False
ACC100328,694,Individual,Pune,Verified,False
ACC100329,29,Business,Ahmedabad,Verified,False
ACC100330,2378,Business,Mumbai,Verified,False
ACC100331,409,Business,Bengaluru,Pending,False
ACC100332,981,Business,Hyderabad,Verified,False
ACC100333,1916,Business,Mumbai,Verified,False
ACC100334,1176,Individual,Bengaluru,Verified,False
ACC100335,1125,Individual,Delhi,Verified,False
ACC100336,843,Individual,Hyderabad,Verified,False
ACC100337,1833,Individual,Pune,Verified,False
ACC100338,1992,Individual,Chennai,Verified,False
ACC100339,863,Individual,Chennai,Verified,False
ACC100340,60,Individual,Bengaluru,Verified,False
ACC100341,584,Individual,Pune,Verified,False
ACC100342,1158,Business,Bengaluru,Verified,False
ACC100343,2207,Business,Bengaluru,Verified,False
ACC100344,2371,Business,Mumbai,Verified,False
ACC100345,2362,Business,Ahmedabad,Verified,False
ACC100346,1725,Individual,Ahmedabad,Verified,False
ACC100347,691,Individual,Chennai,Pending,False
ACC100348,847,Individual,Bengaluru,Pending,False
ACC100349,1087,Business,Kolkata,Verified,False
ACC100350,2321,Business,Ahmedabad,Verified,False
ACC100351,1605,Individual,Pune,Verified,False
ACC100352,14,Individual,Delhi,Verified,False
ACC100353,1136,Business,Kolkata,Verified,False
ACC100354,1229,Business,Kolkata,Verified,False
ACC100355,783,Individual,Hyderabad,Pending,False
ACC100356,886,Business,Hyderabad,Pending,False
ACC100357,1001,Business,Ahmedabad,Pending,False
ACC100358,56,Business,Mumbai,Verified,False
ACC100359,278,Business,Pune,Verified,False
ACC100360,379,Business,Delhi,Pending,False
ACC100361,645,Individual,Mumbai,Verified,False
ACC100362,1139,Individual,Kolkata,Verified,False
ACC100363,1703,Business,Delhi,Verified,False
ACC100364,1692,Business,Mumbai,Pending,False
ACC100365,666,Business,Kolkata,Verified,False
ACC100366,129,Business,Chennai,Verified,False
ACC100367,840,Individual,Hyderabad,Verified,False
ACC100368,1820,Business,Hyderabad,Verified,False
ACC100369,1091,Business,Pune,Verified,False
ACC100370,1984,Business,Hyderabad,Pending,False
ACC100371,1379,Individual,Chennai,Verified,False
ACC100372,750,Individual,Chennai,Verified,False
ACC100373,126,Business,Pune,Verified,False
ACC100374,1863,Individual,Delhi,Pending,False
ACC100375,1160,Individual,Delhi,Verified,False
ACC100376,1941,Individual,Hyderabad,Pending,False
ACC100377,1022,Business,Ahmedabad,Verified,False
ACC100378,1674,Individual,Pune,Verified,False
ACC100379,1091,Business,Mumbai,Verified,False
ACC100380,643,Individual,Delhi,Verified,False
ACC100381,522,Individual,Chennai,Pending,False
ACC100382,1129,Business,Ahmedabad,Pending,False
ACC100383,1151,Business,Chennai,Verified,False
ACC100384,569,Individual,Pune,Pending,False
ACC100385,497,Individual,Chennai,Pending,False
ACC100386,906,Business,Bengaluru,Verified,False
ACC100387,1222,Business,Bengaluru,Verified,False
ACC100388,713,Individual,Chennai,Verified,False
ACC100389,1480,Individual,Chennai,Verified,False
ACC100390,590,Business,Mumbai,Verified,False
ACC100391,2304,Business,Kolkata,Verified,False
ACC100392,163,Individual,Kolkata,Verified,False
ACC100393,1689,Business,Mumbai,Pending,False
ACC100394,1006,Individual,Kolkata,Verified,False
ACC100395,1253,Business,Mumbai,Verified,False
ACC100396,1102,Business,Kolkata,Pending,False
ACC100397,1018,Business,Mumbai,Pending,False
ACC100398,2151,Individual,Pune,Verified,False
ACC100399,1783,Business,Pune,Verified,False
ACC100400,967,Business,Mumbai,Verified,False
ACC100401,462,Business,Kolkata,Verified,False
ACC100402,1237,Business,Chennai,Verified,False
ACC100403,2275,Individual,Pune,Verified,False
ACC100404,2489,Individual,Mumbai,Verified,False
ACC100405,2398,Business,Pune,Verified,False
ACC100406,560,Individual,Mumbai,Verified,False
ACC100407,1645,Business,Hyderabad,Verified,False
ACC100408,1322,Individual,Mumbai,Verified,False
ACC100409,1767,Business,Ahmedabad,Pending,False
ACC100410,366,Business,Pune,Verified,False
ACC100411,2080,Business,Mumbai,Pending,False
ACC100412,1795,Business,Chennai,Verified,False
ACC100413,1791,Individual,Pune,Verified,False
ACC100414,2499,Business,Ahmedabad,Pending,False
ACC100415,1641,Individual,Bengaluru,Verified,False
ACC100416,1025,Business,Mumbai,Verified,False
ACC100417,1358,Business,Ahmedabad,Verified,False
ACC100418,525,Business,Hyderabad,Verified,False
ACC100419,345,Business,Delhi,Verified,False
ACC100420,1792,Business,Mumbai,Verified,False
ACC100421,2315,Individual,Delhi,Verified,False
ACC100422,506,Individual,Ahmedabad,Pending,False
ACC100423,905,Individual,Pune,Verified,False
ACC100424,2217,Business,Kolkata,Pending,False
ACC100425,861,Business,Bengaluru,Verified,False
ACC100426,1697,Individual,Pune,Verified,False
ACC100427,1941,Business,Chennai,Verified,False
ACC100428,2437,Individual,Pune,Verified,False
ACC100429,1578,Individual,Pune,Verified,False
ACC100430,966,Business,Delhi,Verified,False
ACC100431,1646,Business,Kolkata,Verified,False
ACC100432,1301,Individual,Mumbai,Pending,True
ACC100433,1450,Business,Bengaluru,Verified,False
ACC100434,1201,Business,Delhi,Verified,False
ACC100435,1076,Business,Ahmedabad,Verified,False
ACC100436,294,Individual,Delhi,Verified,False
ACC100437,2454,Individual,Chennai,Verified,False
ACC100438,21,Individual,Pune,Verified,False
ACC100439,1640,Business,Delhi,Verified,False
ACC100440,763,Individual,Delhi,Pending,False
ACC100441,2092,Individual,Kolkata,Verified,False
ACC100442,99,Individual,Ahmedabad,Verified,False
ACC100443,785,Business,Hyderabad,Verified,False
ACC100444,1635,Business,Ahmedabad,Verified,False
ACC100445,427,Business,Ahmedabad,Pending,False
ACC100446,124,Business,Kolkata,Pending,False
ACC100447,626,Individual,Hyderabad,Verified,False
ACC100448,835,Business,Bengaluru,Pending,False
ACC100449,1659,Business,Mumbai,Verified,False
ACC100450,1526,Business,Mumbai,Verified,False
ACC100451,422,Business,Ahmedabad,Verified,False
ACC100452,738,Business,Mumbai,Verified,False
ACC100453,685,Business,Pune,Verified,False
ACC100454,1902,Business,Bengaluru,Pending,False
ACC100455,2249,Business,Hyderabad,Pending,False
ACC100456,1132,Individual,Pune,Verified,False
ACC100457,1581,Individual,Pune,Verified,False
ACC100458,987,Business,Delhi,Verified,False
ACC100459,1018,Individual,Chennai,Pending,False
ACC100460,2153,Individual,Ahmedabad,Pending,False
ACC100461,1697,Individual,Mumbai,Verified,False
ACC100462,46,Business,Hyderabad,Verified,False
ACC100463,1558,Business,Mumbai,Verified,False
ACC100464,2336,Individual,Chennai,Verified,False
ACC100465,2274,Individual,Hyderabad,Pending,False
ACC100466,882,Business,Mumbai,Verified,False
ACC100467,1831,Business,Bengaluru,Verified,False
ACC100468,1306,Individual,Chennai,Pending,False
ACC100469,2119,Individual,Pune,Verified,False
ACC100470,605,Business,Delhi,Verified,False
ACC100471,1913,Business,Mumbai,Verified,False
ACC100472,738,Business,Ahmedabad,Verified,False
ACC100473,1375,Business,Pune,Verified,False
ACC100474,406,Individual,Pune,Verified,False
ACC100475,708,Business,Hyderabad,Verified,False
ACC100476,2234,Business,Delhi,Verified,False
ACC100477,1645,Business,Pune,Verified,False
ACC100478,405,Business,Ahmedabad,Verified,False
ACC100479,85,Individual,Mumbai,Pending,False
ACC100480,274,Individual,Chennai,Verified,False
ACC100481,1829,Individual,Hyderabad,Verified,False
ACC100482,727,Business,Chennai,Pending,False
ACC100483,860,Business,Chennai,Verified,False
ACC100484,1400,Individual,Chennai,Verified,False
ACC100485,153,Individual,Pune,Verified,False
ACC100486,894,Individual,Pune,Pending,False
ACC100487,405,Business,Ahmedabad,Pending,False
ACC100488,1502,Business,Delhi,Pending,False
ACC100489,1177,Business,Pune,Verified,False
ACC100490,1072,Individual,Kolkata,Verified,False
ACC100491,2166,Business,Delhi,Verified,False
ACC100492,1075,Business,Mumbai,Verified,False
ACC100493,1219,Business,Chennai,Verified,False
ACC100494,2455,Business,Kolkata,Verified,False
ACC100495,643,Business,Pune,Pending,False
ACC100496,1166,Individual,Pune,Pending,False
ACC100497,1248,Business,Bengaluru,Verified,False
ACC100498,742,Business,Pune,Verified,False
ACC100499,244,Individual,Delhi,Pending,False
ACC100500,760,Individual,Delhi,Verified,False
ACC100501,963,Individual,Pune,Verified,False
ACC100502,1552,Business,Bengaluru,Verified,False
ACC100503,1207,Business,Pune,Verified,False
ACC100504,1686,Business,Mumbai,Verified,False
ACC100505,1201,Business,Kolkata,Verified,False
ACC100506,2227,Business,Hyderabad,Verified,False
ACC100507,1426,Individual,Delhi,Pending,False
ACC100508,1227,Business,Mumbai,Verified,False
ACC100509,1550,Business,Ahmedabad,Verified,False
ACC100510,2086,Business,Ahmedabad,Verified,False
ACC100511,1455,Individual,Delhi,Verified,False
ACC100512,2396,Business,Delhi,Pending,False
ACC100513,1529,Individual,Pune,Verified,False
ACC100514,1398,Individual,Chennai,Verified,False
ACC100515,1866,Individual,Delhi,Verified,False
ACC100516,1375,Individual,Mumbai,Verified,False
ACC100517,509,Individual,Hyderabad,Pending,True
ACC100518,1690,Individual,Pune,Verified,False
ACC100519,520,Business,Delhi,Verified,False
ACC100520,226,Individual,Chennai,Pending,False
ACC100521,1334,Business,Kolkata,Pending,False
ACC100522,1165,Individual,Delhi,Verified,False
ACC100523,1837,Individual,Ahmedabad,Pending,False
ACC100524,1820,Business,Delhi,Verified,False
ACC100525,1215,Individual,Kolkata,Verified,False
ACC100526,2224,Individual,Delhi,Verified,False
ACC100527,100,Individual,Delhi,Verified,False
ACC100528,723,Individual,Pune,Verified,False
ACC100529,1891,Individual,Chennai,Verified,False
ACC100530,48,Business,Delhi,Verified,False
ACC100531,182,Individual,Delhi,Verified,False
ACC100532,662,Individual,Pune,Verified,False
ACC100533,763,Individual,Mumbai,Verified,False
ACC100534,1253,Business,Hyderabad,Pending,False
ACC100535,1091,Individual,Ahmedabad,Verified,False
ACC100536,1693,Business,Ahmedabad,Verified,False
ACC100537,465,Business,Chennai,Pending,False
ACC100538,838,Individual,Bengaluru,Verified,False
ACC100539,904,Business,Kolkata,Pending,False
ACC100540,1394,Business,Hyderabad,Verified,False
ACC100541,1968,Individual,Pune,Verified,False
ACC100542,2444,Business,Kolkata,Verified,False
ACC100543,2006,Business,Mumbai,Verified,False
ACC100544,2405,Individual,Ahmedabad,Verified,False
ACC100545,199,Business,Ahmedabad,Verified,False
ACC100546,514,Individual,Mumbai,Verified,False
ACC100547,1224,Business,Kolkata,Pending,False
ACC100548,1541,Individual,Delhi,Verified,False
ACC100549,833,Business,Hyderabad,Verified,False
ACC100550,938,Business,Ahmedabad,Pending,False
ACC100551,943,Business,Ahmedabad,Verified,False
ACC100552,1150,Individual,Kolkata,Pending,False
ACC100553,143,Individual,Hyderabad,Verified,False
ACC100554,2115,Individual,Bengaluru,Verified,False
ACC100555,694,Business,Ahmedabad,Verified,False
ACC100556,2230,Individual,Mumbai,Pending,False
ACC100557,1862,Individual,Chennai,Verified,False
ACC100558,824,Business,Pune,Verified,True
ACC100559,1182,Business,Bengaluru,Verified,False
ACC100560,89,Business,Chennai,Verified,False
ACC100561,212,Business,Ahmedabad,Verified,False
ACC100562,1262,Individual,Delhi,Verified,False
ACC100563,1709,Business,Pune,Verified,False
ACC100564,1260,Business,Delhi,Verified,False
ACC100565,1692,Business,Bengaluru,Verified,False
ACC100566,1565,Individual,Delhi,Verified,False
ACC100567,2104,Business,Ahmedabad,Verified,False
ACC100568,1266,Individual,Pune,Verified,False
ACC100569,1559,Individual,Kolkata,Verified,False
ACC100570,1176,Business,Ahmedabad,Verified,False
ACC100571,1406,Business,Bengaluru,Verified,False
ACC100572,480,Business,Mumbai,Pending,False
ACC100573,1045,Business,Bengaluru,Pending,False
ACC100574,1363,Business,Hyderabad,Verified,True
ACC100575,977,Business,Delhi,Pending,False
ACC100576,367,Individual,Hyderabad,Verified,False
ACC100577,677,Individual,Hyderabad,Verified,False
ACC100578,382,Business,Pune,Pending,False
