sender_account,receiver_account,transaction_count,total_amount,average_amount
ACC100034,ACC100829,1,2543.03,2543.03
ACC100034,ACC100971,1,160.89,160.89
ACC100034,ACC100993,1,1992.21,1992.21
ACC100035,ACC100232,1,1176.74,1176.74
ACC100035,ACC100330,1,31.7,31.7
ACC100035,ACC100392,1,259.71,259.71
ACC100035,ACC100449,1,2898.66,2898.66
ACC100035,ACC100507,1,347.49,347.49
ACC100035,ACC100722,1,102.26,102.26
ACC100035,ACC100943,1,1851.42,1851.42
ACC100036,ACC100096,1,3313.99,3313.99
ACC100036,ACC100197,1,451.07,451.07
ACC100036,ACC100264,1,2809.49,2809.49
ACC100036,ACC100328,1,699.26,699.26
ACC100036,ACC100649,1,116.65,116.65
ACC100036,ACC100655,1,1179.44,1179.44
ACC100036,ACC100711,1,461.97,461.97
ACC100036,ACC100725,1,1940.76,1940.76
ACC100036,ACC100848,1,3468.6,3468.6
ACC100037,ACC100041,1,1206.91,1206.91
ACC100037,ACC100534,1,1091.21,1091.21
ACC100037,ACC100579,1,439.43,439.43
ACC100037,ACC100619,1,820.89,820.89
ACC100037,ACC100647,1,12229.18,12229.18
ACC100037,ACC100682,1,445.48,445.48
ACC100037,ACC100917,1,122.81,122.81
ACC100038,ACC100086,1,4651.31,4651.31
ACC100038,ACC100089,1,1070.78,1070.78
ACC100038,ACC100193,1,1096.92,1096.92
ACC100038,ACC100309,1,1784.45,1784.45
ACC100038,ACC100342,1,477.52,477.52
ACC100038,ACC100471,2,8397.95,4198.975
ACC100038,ACC100488,1,186.36,186.36
ACC100038,ACC100602,1,2174.19,2174.19
ACC100038,ACC100827,1,1431.19,1431.19
ACC100038,ACC100904,1,1869.97,1869.97
ACC100039,ACC100057,1,2051.51,2051.51
ACC100039,ACC100146,1,455.84,455.84
ACC100039,ACC100157,1,336.7,336.7
ACC100039,ACC100378,1,220.13,220.13
ACC100039,ACC100389,1,1449.19,1449.19
ACC100039,ACC100558,1,8901.9,8901.9
ACC100039,ACC100581,1,391.93,391.93
ACC100039,ACC100596,1,416.77,416.77
ACC100039,ACC100630,1,2381.67,2381.67
ACC100039,ACC100763,1,1338.74,1338.74
ACC100040,ACC100183,1,569.57,569.57
ACC100040,ACC100604,1,5973.0,5973.0
ACC100040,ACC100759,1,1753.32,1753.32
ACC100040,ACC100903,1,1961.42,1961.42
ACC100040,ACC100909,1,1475.9,1475.9
ACC100041,ACC100000,1,343.61,343.61
ACC100041,ACC100078,1,2437.43,2437.43
ACC100041,ACC100136,1,5223.3,5223.3
ACC100041,ACC100157,1,1169.4,1169.4
ACC100041,ACC100227,1,3726.64,3726.64
ACC100041,ACC100438,1,131.6,131.6
ACC100041,ACC100613,1,3641.5,3641.5
ACC100041,ACC100714,1,1737.36,1737.36
ACC100041,ACC100956,1,180.57,180.57
ACC100042,ACC100001,1,242.58,242.58
ACC100042,ACC100284,1,1943.66,1943.66
ACC100042,ACC100436,1,2388.2,2388.2
ACC100042,ACC100453,1,8.46,8.46
ACC100042,ACC100535,1,46.38,46.38
ACC100042,ACC100569,1,18810.64,18810.64
ACC100042,ACC100600,1,1376.85,1376.85
ACC100042,ACC100649,1,4648.95,4648.95
ACC100042,ACC100681,1,15407.42,15407.42
ACC100042,ACC100735,1,1262.5,1262.5
ACC100042,ACC100804,1,3463.56,3463.56
ACC100043,ACC100023,1,2037.78,2037.78
ACC100043,ACC100180,1,896.96,896.96
ACC100043,ACC100470,1,1558.67,1558.67
ACC100043,ACC100570,1,325.35,325.35
ACC100043,ACC100639,1,954.95,954.95
ACC100043,ACC100736,1,1258.91,1258.91
ACC100043,ACC100929,1,623.6,623.6
ACC100044,ACC100068,2,913.1600000000001,456.58000000000004
ACC100044,ACC100094,1,1755.31,1755.31
ACC100044,ACC100106,1,2909.78,2909.78
ACC100044,ACC100130,1,958.31,958.31
ACC100044,ACC100140,1,385.07,385.07
ACC100044,ACC100186,1,789.67,789.67
ACC100044,ACC100279,1,1506.49,1506.49
ACC100044,ACC100326,1,4142.06,4142.06
ACC100044,ACC100443,1,284.39,284.39
ACC100044,ACC100602,2,913.4200000000001,456.71000000000004
ACC100044,ACC100623,1,5220.22,5220.22
ACC100044,ACC100718,1,6918.0,6918.0
ACC100044,ACC100895,1,1915.73,1915.73
ACC100044,ACC100940,1,728.44,728.44
ACC100045,ACC100049,1,1507.95,1507.95
ACC100045,ACC100090,1,755.86,755.86
ACC100045,ACC100400,1,871.82,871.82
ACC100045,ACC100425,1,583.15,583.15
ACC100046,ACC100003,1,5462.11,5462.11
ACC100046,ACC100052,1,1103.35,1103.35
ACC100046,ACC100279,1,1894.33,1894.33
ACC100046,ACC100329,1,857.34,857.34
ACC100046,ACC100428,1,542.07,542.07
ACC100046,ACC100488,1,919.12,919.12
ACC100046,ACC100500,1,1506.91,1506.91
ACC100046,ACC100523,1,5683.89,5683.89
ACC100046,ACC100820,1,779.08,779.08
ACC100046,ACC100821,2,1534.69,767.345
ACC100046,ACC100838,1,362.05,362.05
ACC100046,ACC100944,1,313.56,313.56
ACC100047,ACC100122,1,674.54,674.54
ACC100047,ACC100217,1,1664.36,1664.36
ACC100047,ACC100286,1,140.35,140.35
ACC100047,ACC100300,1,316.86,316.86
ACC100047,ACC100361,1,937.36,937.36
ACC100047,ACC100428,1,724.08,724.08
ACC100047,ACC100558,1,6557.77,6557.77
ACC100047,ACC100677,1,5191.92,5191.92
ACC100047,ACC100749,1,3679.51,3679.51
ACC100047,ACC100790,1,379.57,379.57
ACC100047,ACC100971,1,518.35,518.35
ACC100048,ACC100236,1,512.8,512.8
ACC100048,ACC100304,1,232.23,232.23
ACC100048,ACC100381,1,1463.0,1463.0
ACC100048,ACC100465,1,2145.48,2145.48
ACC100048,ACC100662,1,5647.9,5647.9
ACC100048,ACC100845,1,750.58,750.58
ACC100048,ACC100870,1,7652.88,7652.88
ACC100049,ACC100119,1,3295.96,3295.96
ACC100049,ACC100260,1,19266.75,19266.75
ACC100049,ACC100296,1,248.15,248.15
ACC100049,ACC100322,1,170.23,170.23
ACC100049,ACC100472,1,8106.93,8106.93
ACC100049,ACC100480,1,1518.79,1518.79
ACC100049,ACC100545,1,454.12,454.12
ACC100049,ACC100682,1,3221.9,3221.9
ACC100049,ACC100778,1,4600.44,4600.44
ACC100049,ACC100790,1,3306.67,3306.67
ACC100049,ACC100968,1,3871.59,3871.59
ACC100050,ACC100111,1,676.92,676.92
ACC100050,ACC100436,1,383.55,383.55
ACC100050,ACC100672,1,2082.41,2082.41
ACC100050,ACC100684,1,447.66,447.66
ACC100050,ACC100711,1,1865.13,1865.13
ACC100050,ACC100893,1,4547.27,4547.27
ACC100051,ACC100109,1,12984.69,12984.69
ACC100051,ACC100255,1,2822.77,2822.77
ACC100051,ACC100447,1,401.67,401.67
ACC100051,ACC100780,1,1290.5,1290.5
ACC100051,ACC100844,1,788.6,788.6
ACC100051,ACC100880,1,2476.65,2476.65
ACC100051,ACC100910,1,920.35,920.35
ACC100052,ACC100002,1,132.73,132.73
ACC100052,ACC100129,1,853.84,853.84
ACC100052,ACC100452,1,244.79,244.79
ACC100052,ACC100465,1,815.86,815.86
ACC100052,ACC100487,1,849.75,849.75
ACC100052,ACC100518,1,2271.41,2271.41
ACC100052,ACC100578,1,858.08,858.08
ACC100052,ACC100585,1,8194.38,8194.38
ACC100052,ACC100672,1,1842.04,1842.04
ACC100052,ACC100728,1,1095.84,1095.84
ACC100052,ACC100834,1,278.0,278.0
ACC100052,ACC100849,1,406.84,406.84
ACC100052,ACC100911,1,153.08,153.08
ACC100053,ACC100171,1,473.23,473.23
ACC100053,ACC100514,1,2123.86,2123.86
ACC100053,ACC100664,1,1789.92,1789.92
ACC100053,ACC100676,1,601.21,601.21
ACC100053,ACC100715,1,3563.29,3563.29
ACC100053,ACC100888,1,66.33,66.33
ACC100053,ACC100902,1,554.62,554.62
ACC100054,ACC100059,1,4822.74,4822.74
ACC100054,ACC100103,1,499.63,499.63
ACC100054,ACC100104,1,362.92,362.92
ACC100054,ACC100114,1,1594.9,1594.9
ACC100054,ACC100139,1,11586.38,11586.38
ACC100054,ACC100175,1,667.39,667.39
ACC100054,ACC100189,1,4196.96,4196.96
ACC100054,ACC100198,1,1178.54,1178.54
ACC100054,ACC100451,1,77.55,77.55
ACC100054,ACC100476,1,384.24,384.24
ACC100054,ACC100500,1,3470.89,3470.89
ACC100054,ACC100562,1,1489.98,1489.98
ACC100054,ACC100748,1,1279.37,1279.37
ACC100054,ACC100752,1,381.37,381.37
ACC100054,ACC100923,1,323.95,323.95
ACC100055,ACC100026,1,198.08,198.08
ACC100055,ACC100216,1,1880.95,1880.95
ACC100055,ACC100326,1,3447.19,3447.19
ACC100055,ACC100406,1,155.55,155.55
ACC100055,ACC100703,1,252.23,252.23
ACC100055,ACC100718,1,1448.06,1448.06
ACC100056,ACC100131,1,225.34,225.34
ACC100056,ACC100492,1,4157.24,4157.24
ACC100056,ACC100531,1,288.26,288.26
ACC100056,ACC100647,1,169.37,169.37
ACC100056,ACC100668,1,1367.21,1367.21
ACC100056,ACC100820,1,6764.88,6764.88
ACC100056,ACC100961,1,7646.92,7646.92
ACC100056,ACC100991,1,2504.69,2504.69
ACC100057,ACC100170,1,2014.41,2014.41
ACC100057,ACC100327,1,1412.16,1412.16
ACC100057,ACC100345,1,407.5,407.5
ACC100057,ACC100375,1,9857.14,9857.14
ACC100057,ACC100454,1,2431.8,2431.8
ACC100057,ACC100733,1,1073.11,1073.11
ACC100057,ACC100956,1,6414.32,6414.32
