account_id,unique_senders,unique_receivers,incoming_count,outgoing_count,total_received,total_sent,pass_through_ratio,rapid_movements,network_risk_score,network_risk_level,network_risk_reasons
ACC100058,10,9,10,9,37797.98,57531.04,1.52,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100223,24,13,24,13,141212.05,135256.28,0.96,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100954,15,10,16,10,31321.94,32369.22,1.03,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100281,21,11,21,11,176637.91,142541.0,0.81,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100989,10,12,10,12,33924.79,26733.07,0.79,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100454,14,12,14,12,32151.5,38084.01,1.18,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100411,12,14,12,14,40616.71,52529.25,1.29,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100805,17,15,17,15,45921.12,50085.46,1.09,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100737,11,14,11,14,35576.3,56889.56,1.6,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100000,13,10,13,10,32790.65,23055.79,0.7,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100713,12,13,12,13,44721.31,33103.93,0.74,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100784,11,17,11,17,74858.73,75831.0,1.01,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100967,10,8,10,9,31533.48,32792.71,1.04,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100349,13,13,13,13,31722.09,41353.49,1.3,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100003,14,14,14,14,38701.81,33831.86,0.87,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100982,15,9,15,9,35916.32,28022.29,0.78,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100049,17,11,18,11,32368.94,48061.53,1.48,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100095,23,13,23,14,122828.85,105777.92,0.86,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100123,11,13,11,13,48951.92,49060.62,1.0,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100767,14,12,14,13,38191.96,35374.73,0.93,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100328,13,13,13,13,31280.87,58919.03,1.88,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100759,26,9,27,9,152792.44,114196.77,0.75,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100375,12,8,12,8,30873.62,34062.92,1.1,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100197,16,15,16,15,53980.52,38111.57,0.71,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100983,12,11,13,11,31475.38,24680.24,0.78,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100381,10,14,10,14,37913.7,27469.16,0.72,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100152,13,15,13,15,38906.13,37567.28,0.97,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100625,11,16,12,16,32742.21,64165.27,1.96,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100777,14,14,14,14,31866.67,28678.93,0.9,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100016,12,12,12,12,36679.5,28865.12,0.79,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100635,15,8,15,8,35536.65,38228.48,1.08,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100969,13,13,13,13,43302.59,47572.84,1.1,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100715,14,12,14,13,37296.68,38982.7,1.05,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100422,10,16,10,16,43130.79,46215.02,1.07,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100815,10,11,10,11,30887.54,23964.07,0.78,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100648,13,16,13,16,39374.44,50575.37,1.28,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100369,12,8,12,8,30068.15,21446.94,0.71,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100515,13,9,13,9,38491.98,34936.62,0.91,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100754,20,9,21,9,153891.01,116044.18,0.75,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100402,12,11,12,11,46490.26,44105.12,0.95,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100435,14,11,14,11,46498.27,132437.85,2.85,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100519,14,12,14,12,40959.16,51089.12,1.25,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100322,12,8,12,8,32231.32,30366.28,0.94,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100887,20,14,21,14,31832.2,44644.64,1.4,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100447,13,10,14,10,39102.36,53155.92,1.36,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100368,10,10,10,10,38428.03,32362.76,0.84,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100432,12,6,12,6,68700.84,76512.72,1.11,1,80,HIGH,10+ incoming counterparties | Multiple outgoing counterparties | High pass-through of received funds | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100966,10,14,10,14,48824.87,43633.53,0.89,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100616,19,11,20,11,88922.73,69671.17,0.78,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100025,16,18,16,18,103015.25,117445.61,1.14,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100129,11,14,11,14,32493.09,36139.0,1.11,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100102,9,16,9,16,50345.68,43555.86,0.87,0,70,HIGH,Multiple incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100888,9,10,9,10,74949.11,52649.13,0.7,0,70,HIGH,Multiple incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100825,7,13,7,13,31374.5,31792.96,1.01,0,70,HIGH,Multiple incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100835,9,13,9,13,32372.77,25103.43,0.78,0,70,HIGH,Multiple incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100692,17,7,17,7,86958.61,97230.24,1.12,0,70,HIGH,10+ incoming counterparties | Multiple outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100956,18,7,18,7,34812.81,33060.95,0.95,0,70,HIGH,10+ incoming counterparties | Multiple outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100303,8,11,8,11,34545.72,43240.71,1.25,0,70,HIGH,Multiple incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100617,7,15,7,15,33007.18,37382.79,1.13,0,70,HIGH,Multiple incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100096,9,16,9,16,31086.98,32727.62,1.05,0,70,HIGH,Multiple incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100517,17,7,17,7,99338.44,88881.68,0.89,0,70,HIGH,10+ incoming counterparties | Multiple outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100358,9,14,9,14,32690.56,41436.18,1.27,0,70,HIGH,Multiple incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100518,8,12,8,12,38347.44,30367.26,0.79,0,70,HIGH,Multiple incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100298,13,7,13,7,35940.96,36394.86,1.01,0,70,HIGH,10+ incoming counterparties | Multiple outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100085,7,14,7,14,42521.51,54750.37,1.29,0,70,HIGH,Multiple incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100360,9,12,9,12,35182.83,26452.83,0.75,0,70,HIGH,Multiple incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100325,9,9,9,9,39770.09,41774.57,1.05,0,70,HIGH,Multiple incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100290,14,7,14,7,36049.37,37372.06,1.04,0,70,HIGH,10+ incoming counterparties | Multiple outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100210,8,12,8,12,38407.06,34908.29,0.91,0,70,HIGH,Multiple incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100251,18,7,18,7,51105.87,40646.8,0.8,0,70,HIGH,10+ incoming counterparties | Multiple outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100221,11,12,11,12,19556.74,27253.69,1.39,1,65,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100054,13,15,13,15,20866.08,32316.81,1.55,1,65,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100203,26,14,27,14,150959.17,103249.37,0.68,1,65,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100801,12,9,12,9,25479.79,16729.67,0.66,1,65,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100398,15,11,15,11,19299.88,28249.96,1.46,1,65,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100807,8,6,8,6,34098.76,28766.11,0.84,0,60,MEDIUM,Multiple incoming counterparties | Multiple outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100847,12,12,12,12,18824.02,34940.41,1.86,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100875,11,10,11,10,23821.66,12468.88,0.52,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100917,11,13,11,13,11376.23,21391.9,1.88,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100393,11,14,11,14,24093.47,74060.66,3.07,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100830,12,16,12,16,19336.06,65118.39,3.37,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100329,14,10,14,10,11825.99,23328.8,1.97,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100013,12,10,12,10,14467.84,22471.91,1.55,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100524,12,10,12,10,27173.38,22955.5,0.84,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100716,15,8,15,8,18588.11,10774.95,0.58,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100708,11,10,11,10,18017.05,17704.23,0.98,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100408,16,9,16,9,18830.73,18491.08,0.98,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100258,13,12,13,12,14308.51,31446.4,2.2,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100157,12,15,12,15,15853.38,32968.93,2.08,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100670,12,11,12,11,17283.67,33332.44,1.93,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100939,11,10,11,10,21493.73,50274.04,2.34,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100532,12,8,12,8,25393.96,20627.58,0.81,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100248,10,11,10,11,12267.51,39673.47,3.23,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100010,11,15,11,15,27012.74,29985.02,1.11,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100732,10,17,10,17,18964.51,56241.59,2.97,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100105,13,11,13,11,19400.66,54380.59,2.8,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100237,13,8,13,8,19835.15,10582.26,0.53,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100081,14,8,14,8,35371.91,18451.73,0.52,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100991,12,8,12,8,17057.11,26405.73,1.55,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100856,10,11,10,11,24711.35,12535.12,0.51,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100356,11,10,11,10,13419.23,14823.58,1.1,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100430,10,12,10,12,17819.23,25592.82,1.44,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100296,13,8,13,8,10877.92,13462.39,1.24,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100790,12,15,12,15,16787.45,13049.5,0.78,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100800,11,9,11,9,11945.3,10212.27,0.85,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100268,11,15,11,15,14678.16,46573.29,3.17,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100382,12,17,12,18,18758.88,26275.12,1.4,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100137,11,13,11,14,27971.63,34249.79,1.22,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100052,11,13,11,13,15212.2,17996.64,1.18,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100876,10,14,11,14,22835.4,33657.09,1.47,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100404,11,11,11,11,22649.86,42792.65,1.89,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100984,13,10,13,11,25831.42,25270.4,0.98,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100279,11,8,11,8,13614.85,11002.43,0.81,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100624,10,17,10,18,12790.25,72927.24,5.7,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100783,11,12,11,12,23299.52,35923.57,1.54,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100849,13,8,13,8,30950.25,17858.84,0.58,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100663,14,12,14,12,9683.9,14991.76,1.55,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100563,11,17,11,17,22822.7,38708.9,1.7,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100511,11,13,11,13,26894.77,28078.79,1.04,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100165,13,11,13,11,28511.52,21026.43,0.74,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100724,12,8,12,8,26697.71,19797.78,0.74,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100507,13,11,13,11,19528.1,14895.15,0.76,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100678,11,9,11,9,28996.72,20096.88,0.69,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100948,10,13,10,13,9946.84,40209.01,4.04,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100317,11,10,11,10,27390.95,26156.96,0.95,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100007,10,10,10,10,27843.56,21154.43,0.76,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100193,10,12,10,12,21500.33,34169.01,1.59,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100539,10,11,10,11,12612.74,21680.27,1.72,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100400,18,12,18,12,18014.5,40837.59,2.27,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100418,10,11,10,11,13400.6,18458.38,1.38,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100862,13,9,13,9,29751.81,24805.62,0.83,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100177,12,12,13,12,20455.81,28674.8,1.4,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100770,12,9,12,9,20456.69,14600.49,0.71,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100773,10,10,10,10,20835.37,21038.42,1.01,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100851,14,13,14,13,16926.46,18370.15,1.09,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
ACC100312,11,10,11,11,22363.41,33943.34,1.52,0,55,MEDIUM,10+ incoming counterparties | 8+ outgoing counterparties | Potential intermediary account
