account_id,account_age_days,customer_type,city,kyc_status,is_mule,incoming_count,unique_senders,total_received,outgoing_count,unique_receivers,total_sent,transaction_velocity,unique_devices,risk_score,risk_level
ACC100229,2066,Business,Chennai,Verified,False,19,19,62790.39,13,13,31900.3,19,18,70,HIGH
ACC100257,825,Individual,Bengaluru,Verified,False,16,16,27111.15,16,16,50580.68,16,16,70,HIGH
ACC100954,1649,Individual,Kolkata,Verified,False,16,15,31321.94,10,10,32369.22,16,16,70,HIGH
ACC100307,1826,Business,Delhi,Verified,False,15,15,58444.33,15,15,32256.109999999997,15,14,70,HIGH
ACC100386,906,Business,Bengaluru,Verified,False,16,15,38866.42,13,13,20359.43,16,16,70,HIGH
ACC100095,2098,Business,Bengaluru,Verified,True,23,23,122828.85,14,13,105777.92,23,23,70,HIGH
ACC100541,1968,Individual,Pune,Verified,False,18,18,43094.049999999996,13,13,24150.18,18,17,70,HIGH
ACC100432,1301,Individual,Mumbai,Pending,True,12,12,68700.84,6,6,76512.72,12,12,70,HIGH
ACC100877,734,Individual,Delhi,Verified,False,15,15,39658.74,10,10,32121.42,15,15,70,HIGH
ACC100947,355,Individual,Kolkata,Pending,False,17,16,75459.27,11,11,17327.829999999998,17,17,70,HIGH
ACC100940,2126,Individual,Kolkata,Verified,False,15,15,22782.99,14,14,27151.87,15,14,70,HIGH
ACC100223,890,Business,Chennai,Pending,True,24,24,141212.05,13,13,135256.28,24,24,70,HIGH
ACC100612,72,Business,Chennai,Verified,False,12,12,18134.57,13,13,46760.409999999996,12,11,65,HIGH
ACC100585,50,Individual,Hyderabad,Verified,False,12,12,49146.94,13,12,26688.16,12,12,65,HIGH
ACC100647,2175,Business,Delhi,Verified,False,11,11,41107.33,15,15,41373.97,11,11,65,HIGH
ACC100689,52,Business,Hyderabad,Pending,False,12,12,22391.86,12,12,12941.37,12,12,65,HIGH
ACC100221,633,Individual,Mumbai,Pending,False,11,11,19556.74,12,12,27253.690000000002,11,11,65,HIGH
ACC100329,29,Business,Ahmedabad,Verified,False,14,14,11825.99,10,10,23328.8,14,14,65,HIGH
ACC100696,909,Business,Delhi,Verified,False,17,17,41988.85,4,4,4688.08,17,16,60,HIGH
ACC100709,691,Individual,Mumbai,Pending,False,16,16,21412.69,3,3,10537.11,16,15,60,HIGH
ACC100716,1763,Business,Bengaluru,Verified,False,15,15,18588.11,8,8,10774.95,15,15,60,HIGH
ACC100754,1916,Business,Delhi,Pending,True,21,20,153891.01,9,9,116044.18,21,21,60,HIGH
ACC100760,1072,Business,Chennai,Verified,False,17,17,40870.74,7,7,12410.560000000001,17,16,60,HIGH
ACC100759,723,Individual,Ahmedabad,Verified,True,27,26,152792.44,9,9,114196.77,27,24,60,HIGH
ACC100812,2031,Business,Ahmedabad,Verified,False,21,21,52064.17,6,6,28212.66,21,21,60,HIGH
ACC100605,383,Individual,Bengaluru,Pending,False,15,15,26354.63,5,5,4091.98,15,15,60,HIGH
ACC100639,1833,Individual,Bengaluru,Pending,False,15,15,52264.619999999995,7,7,10526.32,15,14,60,HIGH
ACC100673,1368,Individual,Hyderabad,Verified,False,15,15,18961.149999999998,9,9,25866.66,15,14,60,HIGH
ACC100692,770,Business,Delhi,Verified,True,17,17,86958.61,7,7,97230.23999999999,17,16,60,HIGH
ACC100086,1172,Individual,Hyderabad,Verified,False,16,16,46270.96,9,9,26455.78,16,16,60,HIGH
ACC100838,148,Business,Bengaluru,Verified,False,17,16,33566.659999999996,5,5,9777.78,17,16,60,HIGH
ACC100635,1479,Business,Delhi,Pending,False,15,15,35536.65,8,8,38228.479999999996,15,13,60,HIGH
ACC100687,214,Individual,Chennai,Pending,False,18,18,57123.520000000004,6,6,14257.49,18,17,60,HIGH
ACC100070,347,Individual,Delhi,Pending,False,17,17,43631.409999999996,6,6,22083.2,17,17,60,HIGH
ACC100884,2146,Business,Delhi,Verified,False,19,18,43834.97,5,5,16155.02,19,18,60,HIGH
ACC100870,1865,Business,Pune,Verified,False,16,16,145519.78999999998,8,8,40152.11,16,15,60,HIGH
ACC100564,1260,Business,Delhi,Verified,False,16,16,14121.97,7,7,9917.41,16,15,60,HIGH
ACC100956,365,Business,Ahmedabad,Pending,False,18,18,34812.81,7,7,33060.95,18,18,60,HIGH
ACC100517,509,Individual,Hyderabad,Pending,True,17,17,99338.44,7,7,88881.68000000001,17,17,60,HIGH
ACC100514,1398,Individual,Chennai,Verified,False,17,17,55479.240000000005,6,6,17289.57,17,17,60,HIGH
ACC100444,1635,Business,Ahmedabad,Verified,False,15,15,27668.97,8,8,12264.91,15,15,60,HIGH
ACC100907,1481,Individual,Chennai,Verified,False,17,17,27333.18,6,6,19000.2,17,17,60,HIGH
ACC100326,1539,Individual,Kolkata,Verified,False,15,15,25186.55,7,7,9237.73,15,15,60,HIGH
ACC100408,1322,Individual,Mumbai,Verified,False,16,16,18830.73,9,9,18491.079999999998,16,16,60,HIGH
ACC100417,1358,Business,Ahmedabad,Verified,False,17,17,48521.18,9,9,17643.86,17,17,60,HIGH
ACC100251,966,Business,Mumbai,Pending,False,18,18,51105.869999999995,7,7,40646.8,18,18,60,HIGH
ACC100204,156,Business,Chennai,Verified,False,15,15,25642.36,8,8,23024.42,15,15,60,HIGH
ACC100226,2311,Individual,Delhi,Verified,False,16,16,97124.66,7,7,10219.57,16,16,60,HIGH
ACC100112,880,Business,Chennai,Verified,False,17,17,41009.26,6,6,3358.75,17,17,60,HIGH
ACC100212,1812,Business,Bengaluru,Verified,False,15,15,24314.519999999997,6,6,13467.18,15,15,60,HIGH
ACC100119,573,Business,Pune,Verified,False,16,16,34048.77,8,8,9323.45,16,16,60,HIGH
ACC100131,1607,Business,Ahmedabad,Pending,False,16,16,21865.079999999998,4,4,21626.579999999998,16,15,60,HIGH
ACC100135,1373,Business,Hyderabad,Verified,False,17,17,33880.21,9,9,29352.63,17,17,60,HIGH
ACC100175,2442,Individual,Delhi,Pending,False,16,16,15529.99,7,7,17552.48,16,15,60,HIGH
ACC100992,772,Business,Ahmedabad,Pending,False,17,17,27935.73,8,8,16924.72,17,15,60,HIGH
ACC100997,2000,Individual,Chennai,Verified,False,15,15,91776.47,8,8,40377.84,15,15,60,HIGH
ACC100982,546,Individual,Delhi,Verified,False,15,15,35916.32,9,9,28022.29,15,15,60,HIGH
ACC100000,870,Individual,Bengaluru,Verified,False,13,13,32790.65,10,10,23055.79,13,12,55,MEDIUM
ACC100002,1140,Individual,Mumbai,Pending,False,13,13,57207.770000000004,10,10,53453.5,13,13,55,MEDIUM
ACC100003,1105,Individual,Bengaluru,Verified,False,14,14,38701.81,14,14,33831.86,14,13,55,MEDIUM
ACC100777,1503,Business,Hyderabad,Pending,False,14,14,31866.67,14,14,28678.93,14,13,55,MEDIUM
ACC100779,632,Business,Ahmedabad,Verified,False,10,10,18699.7,7,7,19482.74,10,9,55,MEDIUM
ACC100143,1418,Individual,Mumbai,Pending,False,14,14,23029.81,11,11,38735.77,14,14,55,MEDIUM
ACC100463,1558,Business,Mumbai,Verified,False,13,13,130259.84,11,11,20284.25,13,13,55,MEDIUM
ACC100459,1018,Individual,Chennai,Pending,False,12,12,15460.54,12,12,42838.34,12,11,55,MEDIUM
ACC100440,763,Individual,Delhi,Pending,False,12,12,14296.06,12,12,31878.62,12,11,55,MEDIUM
ACC100886,2353,Individual,Ahmedabad,Verified,False,14,14,27369.35,14,14,36192.82,14,13,55,MEDIUM
ACC100468,1306,Individual,Chennai,Pending,False,13,13,55895.0,11,11,28631.26,13,13,55,MEDIUM
ACC100474,406,Individual,Pune,Verified,False,13,12,7416.33,14,14,44774.95,13,13,55,MEDIUM
ACC100743,374,Business,Ahmedabad,Verified,False,12,12,26852.66,12,11,34689.81,12,11,55,MEDIUM
ACC100770,76,Individual,Chennai,Verified,False,12,12,20456.69,9,9,14600.49,12,12,55,MEDIUM
ACC100768,2082,Individual,Kolkata,Verified,False,13,13,17175.68,12,12,19824.66,13,12,55,MEDIUM
ACC100767,2202,Individual,Pune,Verified,False,14,14,38191.96,13,12,35374.729999999996,14,14,55,MEDIUM
ACC100139,1539,Business,Ahmedabad,Pending,False,13,12,34793.45,13,13,22108.61,13,13,55,MEDIUM
ACC100165,1301,Individual,Kolkata,Verified,False,13,13,28511.52,11,11,21026.43,13,13,55,MEDIUM
ACC100162,1530,Business,Pune,Pending,False,13,13,38721.82,10,10,14188.66,13,13,55,MEDIUM
ACC100157,2008,Individual,Kolkata,Pending,False,12,12,15853.38,15,15,32968.93,12,12,55,MEDIUM
ACC100473,1375,Business,Pune,Verified,False,14,14,28414.66,14,14,36728.03,14,13,55,MEDIUM
ACC100490,1072,Individual,Kolkata,Verified,False,13,12,24486.760000000002,14,13,37295.1,13,13,55,MEDIUM
ACC100426,1697,Individual,Pune,Verified,False,12,12,137381.28,14,14,26034.09,12,10,55,MEDIUM
ACC100425,861,Business,Bengaluru,Verified,False,13,13,35337.11,11,11,15085.02,13,13,55,MEDIUM
ACC100454,1902,Business,Bengaluru,Pending,False,14,14,32151.5,12,12,38084.009999999995,14,14,55,MEDIUM
ACC100451,422,Business,Ahmedabad,Verified,False,13,12,71504.44,12,12,23411.22,13,12,55,MEDIUM
ACC100447,626,Individual,Hyderabad,Verified,False,14,13,39102.36,10,10,53155.92,14,13,55,MEDIUM
ACC100816,856,Business,Bengaluru,Pending,False,13,13,19588.87,15,15,27819.41,13,13,55,MEDIUM
ACC100813,956,Individual,Chennai,Verified,False,13,13,18616.34,12,12,22090.09,13,12,55,MEDIUM
ACC100756,1664,Individual,Pune,Pending,False,13,13,28370.55,11,11,24518.25,13,13,55,MEDIUM
ACC100177,1163,Business,Pune,Verified,False,13,12,20455.81,12,12,28674.800000000003,13,12,55,MEDIUM
ACC100167,708,Business,Kolkata,Verified,False,14,14,27168.5,15,15,31729.86,14,14,55,MEDIUM
ACC100752,1784,Business,Delhi,Verified,False,14,14,35125.09,11,11,16149.91,14,14,55,MEDIUM
ACC100746,892,Business,Mumbai,Verified,False,14,14,13137.07,14,14,27336.31,14,14,55,MEDIUM
ACC100441,2092,Individual,Kolkata,Verified,False,12,12,19121.91,11,11,7847.37,12,12,55,MEDIUM
ACC100488,1502,Business,Delhi,Pending,False,13,13,12451.77,12,12,47350.95,13,13,55,MEDIUM
ACC100507,1426,Individual,Delhi,Pending,False,13,13,19528.1,11,11,14895.150000000001,13,13,55,MEDIUM
ACC100865,1918,Individual,Chennai,Verified,False,13,13,16486.83,11,11,24467.1,13,13,55,MEDIUM
ACC100958,1873,Business,Delhi,Verified,False,12,12,25535.0,13,12,19174.379999999997,12,12,55,MEDIUM
ACC100415,1641,Individual,Bengaluru,Verified,False,14,14,23970.539999999997,12,12,20719.809999999998,14,14,55,MEDIUM
ACC100411,2080,Business,Mumbai,Pending,False,12,12,40616.71,14,14,52529.25,12,12,55,MEDIUM
ACC100410,366,Business,Pune,Verified,False,13,13,18065.96,10,10,18008.100000000002,13,13,55,MEDIUM
ACC100185,212,Business,Ahmedabad,Verified,False,14,14,136709.69,15,15,23799.2,14,13,55,MEDIUM
ACC100105,1905,Business,Kolkata,Verified,False,13,13,19400.66,11,11,54380.59,13,13,55,MEDIUM
ACC100132,805,Business,Hyderabad,Pending,False,12,12,49893.590000000004,10,10,13311.92,12,12,55,MEDIUM
ACC100407,1645,Business,Hyderabad,Verified,False,13,13,21449.28,11,10,33338.62,13,12,55,MEDIUM
ACC100435,1076,Business,Ahmedabad,Verified,False,14,14,46498.270000000004,11,11,132437.85,14,14,55,MEDIUM
ACC100420,1792,Business,Mumbai,Verified,False,12,11,24412.08,13,12,37498.6,12,12,55,MEDIUM
ACC100859,1128,Individual,Kolkata,Pending,False,12,12,42476.74,13,13,28924.789999999997,12,11,55,MEDIUM
ACC100531,182,Individual,Delhi,Verified,False,12,12,42627.77,11,11,28418.97,12,12,55,MEDIUM
ACC100529,1891,Individual,Chennai,Verified,False,14,14,40892.48,11,11,23279.16,14,14,55,MEDIUM
ACC100406,560,Individual,Mumbai,Verified,False,13,13,26843.559999999998,11,11,41889.67,13,13,55,MEDIUM
ACC100402,1237,Business,Chennai,Verified,False,12,12,46490.259999999995,11,11,44105.119999999995,12,12,55,MEDIUM
ACC100524,1820,Business,Delhi,Verified,False,12,12,27173.38,10,10,22955.5,12,11,55,MEDIUM
ACC100519,520,Business,Delhi,Verified,False,14,14,40959.16,12,12,51089.119999999995,14,14,55,MEDIUM
ACC100546,514,Individual,Mumbai,Verified,False,12,12,21984.87,10,10,13020.78,12,12,55,MEDIUM
ACC100535,1091,Individual,Ahmedabad,Verified,False,12,12,68710.05,17,17,36815.65,12,11,55,MEDIUM
ACC100367,840,Individual,Hyderabad,Verified,False,12,12,16821.149999999998,10,10,26356.34,12,11,55,MEDIUM
ACC100215,1448,Business,Ahmedabad,Pending,False,14,13,15372.5,10,9,17496.43,14,13,55,MEDIUM
ACC100044,2051,Individual,Ahmedabad,Verified,False,14,14,11377.15,16,14,29340.05,14,14,55,MEDIUM
ACC100042,2071,Business,Chennai,Verified,False,12,12,126939.1,11,11,49599.2,12,12,55,MEDIUM
ACC100715,1111,Business,Bengaluru,Verified,False,14,14,37296.68,13,12,38982.7,14,14,55,MEDIUM
ACC100714,1978,Individual,Hyderabad,Pending,False,13,13,18686.46,14,14,23832.379999999997,13,13,55,MEDIUM
ACC100713,2403,Business,Mumbai,Verified,False,12,12,44721.31,13,13,33103.93,12,12,55,MEDIUM
ACC100937,1965,Individual,Ahmedabad,Verified,False,13,13,43106.020000000004,13,13,75750.66,13,13,55,MEDIUM
ACC100365,666,Business,Kolkata,Verified,False,12,12,36626.06,10,10,18721.44,12,12,55,MEDIUM
ACC100390,590,Business,Mumbai,Verified,False,13,13,25313.73,12,12,39102.74,13,13,55,MEDIUM
ACC100382,1129,Business,Ahmedabad,Pending,False,12,12,18758.88,18,17,26275.12,12,11,55,MEDIUM
ACC100559,1182,Business,Bengaluru,Verified,False,12,12,19621.61,10,10,26131.32,12,12,55,MEDIUM
ACC100854,1646,Individual,Mumbai,Verified,False,14,14,32107.219999999998,11,11,29849.59,14,14,55,MEDIUM
ACC100851,1629,Business,Mumbai,Pending,False,14,14,16926.46,13,13,18370.15,14,14,55,MEDIUM
ACC100372,750,Individual,Chennai,Verified,False,12,12,16149.550000000001,13,13,16108.91,12,12,55,MEDIUM
ACC100703,681,Individual,Mumbai,Verified,False,13,13,24512.22,14,14,21041.600000000002,13,12,55,MEDIUM
ACC100699,290,Individual,Ahmedabad,Pending,False,14,14,40323.28,11,11,28283.82,14,14,55,MEDIUM
ACC100046,2149,Individual,Chennai,Pending,False,13,13,29368.93,13,12,20958.5,13,13,55,MEDIUM
ACC100202,1996,Business,Ahmedabad,Verified,False,12,12,31328.35,10,10,14121.34,12,12,55,MEDIUM
ACC100199,1965,Business,Ahmedabad,Verified,False,12,12,27259.1,10,9,12736.04,12,12,55,MEDIUM
ACC100847,1683,Business,Mumbai,Verified,False,12,12,18824.02,12,12,34940.41,12,12,55,MEDIUM
ACC100081,74,Business,Chennai,Verified,False,14,14,35371.909999999996,8,8,18451.73,14,14,55,MEDIUM
ACC100078,502,Individual,Mumbai,Verified,False,13,13,18709.1,12,12,24693.48,13,13,55,MEDIUM
ACC100328,694,Individual,Pune,Verified,False,13,13,31280.87,13,13,58919.030000000006,13,13,55,MEDIUM
ACC100349,1087,Business,Kolkata,Verified,False,13,13,31722.09,13,13,41353.49,13,13,55,MEDIUM
ACC100348,847,Individual,Bengaluru,Pending,False,13,13,34090.57,14,14,22435.879999999997,13,13,55,MEDIUM
ACC100345,2362,Business,Ahmedabad,Verified,False,12,12,26089.82,12,12,20272.9,12,12,55,MEDIUM
ACC100576,367,Individual,Hyderabad,Verified,False,12,12,36997.8,10,10,13680.630000000001,12,11,55,MEDIUM
ACC100318,1510,Individual,Hyderabad,Pending,False,12,12,49032.15,10,10,29762.019999999997,12,11,55,MEDIUM
ACC100341,584,Individual,Pune,Verified,False,14,14,25083.79,13,13,36046.06,14,14,55,MEDIUM
ACC100258,1537,Individual,Chennai,Verified,False,13,13,14308.51,12,12,31446.4,13,12,55,MEDIUM
ACC100952,2198,Business,Ahmedabad,Verified,False,13,13,30374.79,16,16,64075.11,13,13,55,MEDIUM
ACC100118,873,Business,Bengaluru,Verified,False,13,13,38298.78,10,10,60869.770000000004,13,12,55,MEDIUM
ACC100681,2241,Business,Ahmedabad,Verified,False,14,14,37850.79,12,12,19651.59,14,14,55,MEDIUM
ACC100679,806,Individual,Hyderabad,Pending,False,14,13,35295.36,13,13,54085.950000000004,14,14,55,MEDIUM
ACC100706,1038,Business,Mumbai,Verified,False,13,13,18541.85,10,10,20856.61,13,13,55,MEDIUM
ACC100591,934,Individual,Chennai,Verified,False,14,14,24429.25,10,10,12681.6,14,14,55,MEDIUM
ACC100590,2046,Business,Kolkata,Verified,False,13,13,53544.56,10,10,22517.55,13,13,55,MEDIUM
ACC100613,1250,Individual,Pune,Verified,False,13,13,16796.52,14,14,19552.67,13,13,55,MEDIUM
ACC100301,2310,Individual,Kolkata,Verified,False,13,13,17061.760000000002,11,11,64605.76,13,11,55,MEDIUM
ACC100600,807,Individual,Delhi,Pending,False,13,13,23939.65,12,12,40952.41,13,13,55,MEDIUM
ACC100625,1903,Business,Pune,Verified,False,12,11,32742.21,16,16,64165.27,12,12,55,MEDIUM
ACC100911,2045,Individual,Hyderabad,Verified,False,12,12,24078.89,16,16,44776.9,12,12,55,MEDIUM
ACC100909,1702,Business,Hyderabad,Verified,False,13,13,28952.34,14,14,29541.38,13,13,55,MEDIUM
ACC100645,683,Business,Mumbai,Verified,False,14,14,32467.8,12,12,17263.15,14,14,55,MEDIUM
ACC100644,259,Business,Ahmedabad,Pending,False,13,13,20411.69,10,10,23122.72,13,13,55,MEDIUM
ACC100641,2152,Individual,Ahmedabad,Verified,False,13,13,30378.2,13,13,30971.2,13,13,55,MEDIUM
ACC100640,2091,Business,Mumbai,Verified,False,13,13,25496.29,10,10,71622.09,13,13,55,MEDIUM
ACC100660,2132,Individual,Chennai,Verified,False,14,14,27906.71,13,13,44475.27,14,13,55,MEDIUM
ACC100655,1858,Individual,Ahmedabad,Verified,False,13,13,18318.989999999998,13,13,72971.47,13,13,55,MEDIUM
ACC100651,1087,Business,Delhi,Verified,False,13,13,28327.88,10,10,12741.52,13,12,55,MEDIUM
ACC100649,277,Business,Kolkata,Pending,False,12,12,28412.719999999998,11,11,28533.23,12,12,55,MEDIUM
ACC100648,780,Individual,Bengaluru,Verified,False,13,13,39374.44,16,16,50575.37,13,13,55,MEDIUM
ACC100677,2138,Business,Bengaluru,Verified,False,12,12,21045.35,16,16,24459.28,12,12,55,MEDIUM
ACC100276,235,Individual,Ahmedabad,Verified,False,13,13,50890.770000000004,10,10,10963.7,13,13,55,MEDIUM
ACC100663,773,Business,Ahmedabad,Verified,False,14,14,9683.9,12,12,14991.76,14,14,55,MEDIUM
ACC100837,1927,Business,Delhi,Pending,False,12,12,23115.45,10,10,19505.800000000003,12,12,55,MEDIUM
ACC100831,2058,Business,Pune,Pending,False,13,13,25573.75,11,11,16396.95,13,12,55,MEDIUM
ACC100830,568,Individual,Mumbai,Pending,False,12,12,19336.059999999998,16,16,65118.39,12,12,55,MEDIUM
ACC100826,234,Individual,Hyderabad,Verified,False,14,14,29074.29,17,16,28721.53,14,14,55,MEDIUM
ACC100266,964,Business,Pune,Verified,False,14,14,36550.52,12,12,17813.64,14,13,55,MEDIUM
ACC100674,1029,Business,Kolkata,Verified,False,13,13,33561.28,12,12,20979.0,13,13,55,MEDIUM
ACC100672,175,Individual,Ahmedabad,Verified,False,12,12,25843.42,12,12,33072.44,12,11,55,MEDIUM
ACC100670,1341,Individual,Kolkata,Verified,False,12,12,17283.67,11,11,33332.44,12,11,55,MEDIUM
ACC100108,1495,Business,Kolkata,Verified,False,13,12,16400.69,12,12,39062.880000000005,13,13,55,MEDIUM
ACC100256,1310,Business,Ahmedabad,Pending,False,12,12,19026.76,10,9,40140.61,12,12,55,MEDIUM
ACC100255,407,Individual,Chennai,Verified,False,12,12,27857.760000000002,12,12,29482.43,12,11,55,MEDIUM
ACC100978,126,Individual,Delhi,Pending,False,14,14,21762.58,17,17,22037.99,14,14,55,MEDIUM
ACC100972,2428,Individual,Delhi,Verified,False,12,12,29164.739999999998,11,11,26194.02,12,12,55,MEDIUM
ACC100797,768,Individual,Hyderabad,Verified,False,13,13,30912.22,10,10,8216.53,13,13,55,MEDIUM
ACC100984,2132,Business,Hyderabad,Verified,False,13,13,25831.42,11,10,25270.4,13,13,55,MEDIUM
ACC100983,1635,Business,Bengaluru,Verified,False,13,12,31475.38,11,11,24680.24,13,13,55,MEDIUM
ACC100016,2443,Individual,Mumbai,Pending,False,12,12,36679.5,12,12,28865.12,12,12,55,MEDIUM
ACC100015,1525,Individual,Chennai,Verified,False,12,11,27662.03,11,11,39555.03,12,12,55,MEDIUM
ACC100013,779,Individual,Chennai,Verified,False,12,12,14467.84,10,10,22471.91,12,12,55,MEDIUM
ACC100152,658,Individual,Hyderabad,Pending,False,13,13,38906.130000000005,15,15,37567.28,13,13,55,MEDIUM
ACC100790,2334,Individual,Delhi,Verified,False,12,12,16787.45,15,15,13049.5,12,11,55,MEDIUM
ACC100969,1215,Individual,Mumbai,Verified,False,13,13,43302.590000000004,13,13,47572.84,13,13,55,MEDIUM
ACC100038,1307,Individual,Mumbai,Verified,False,14,14,15177.96,11,10,23140.64,14,14,55,MEDIUM
ACC100006,476,Business,Chennai,Verified,False,13,13,33089.44,12,12,28482.33,13,13,55,MEDIUM
ACC100340,60,Individual,Bengaluru,Verified,False,10,10,27594.81,13,12,27316.510000000002,10,10,50,MEDIUM
ACC100726,57,Individual,Pune,Pending,False,11,11,27541.35,10,10,36600.25,11,9,50,MEDIUM
