transaction_id,sender_account,receiver_account,amount,transaction_time,transaction_type,device_id
TXN1000058,ACC100529,ACC100783,1440.45,2026-03-03 01:56:00,BANK_TRANSFER,DEV1206
TXN1000059,ACC100676,ACC100327,2690.75,2026-06-24 04:46:00,UPI,DEV1254
TXN1000060,ACC100302,ACC100265,3663.31,2026-04-18 13:48:00,CARD,DEV1018
TXN1000061,ACC100597,ACC100725,596.5,2026-05-27 06:28:00,NEFT,DEV1113
TXN1000062,ACC100702,ACC100547,738.63,2026-06-13 16:14:00,NEFT,DEV1259
TXN1000063,ACC100307,ACC100865,976.34,2026-02-13 22:26:00,BANK_TRANSFER,DEV1092
TXN1000064,ACC100300,ACC100099,619.78,2026-05-01 04:22:00,NEFT,DEV1286
TXN1000065,ACC100781,ACC100934,3710.14,2026-02-16 23:12:00,NEFT,DEV1045
TXN1000066,ACC100227,ACC100363,516.58,2026-02-27 10:28:00,CARD,DEV1169
TXN1000067,ACC100380,ACC100266,4924.52,2026-05-30 10:02:00,CARD,DEV1060
TXN1000068,ACC100481,ACC100054,706.01,2026-06-12 19:55:00,BANK_TRANSFER,DEV1036
TXN1000069,ACC100483,ACC100910,1933.09,2026-02-19 17:04:00,UPI,DEV1195
TXN1000070,ACC100542,ACC100305,1339.03,2026-04-16 01:50:00,IMPS,DEV1070
TXN1000071,ACC100205,ACC100350,339.96,2026-04-15 19:26:00,CARD,DEV1073
TXN1000072,ACC100323,ACC100883,1070.77,2026-02-16 02:45:00,CARD,DEV1170
TXN1000073,ACC100646,ACC100181,1636.59,2026-03-22 21:39:00,UPI,DEV1002
TXN1000074,ACC100462,ACC100280,1015.21,2026-02-23 05:45:00,BANK_TRANSFER,DEV1081
TXN1000075,ACC100501,ACC100804,218.93,2026-01-23 04:25:00,BANK_TRANSFER,DEV1222
TXN1000076,ACC100648,ACC100439,8448.25,2026-04-14 14:38:00,CARD,DEV1196
TXN1000077,ACC100004,ACC100038,1218.33,2026-05-17 06:48:00,NEFT,DEV1007
TXN1000078,ACC100913,ACC100329,422.77,2026-05-16 06:30:00,UPI,DEV1002
TXN1000079,ACC100641,ACC100751,7668.85,2026-03-05 07:43:00,NEFT,DEV1159
TXN1000080,ACC100132,ACC100105,2300.47,2026-04-09 17:10:00,BANK_TRANSFER,DEV1156
TXN1000081,ACC100171,ACC100066,259.77,2026-01-12 10:10:00,NEFT,DEV1233
TXN1000082,ACC100745,ACC100532,313.13,2026-06-02 17:53:00,NEFT,DEV1222
TXN1000083,ACC100909,ACC100703,839.77,2026-02-04 11:41:00,CARD,DEV1183
TXN1000084,ACC100768,ACC100192,1566.77,2026-02-12 13:46:00,UPI,DEV1116
TXN1000085,ACC100229,ACC100744,2315.45,2026-02-03 07:12:00,UPI,DEV1258
TXN1000086,ACC100173,ACC100126,3429.65,2026-04-04 22:12:00,UPI,DEV1192
TXN1000087,ACC100897,ACC100655,2095.37,2026-03-07 18:15:00,BANK_TRANSFER,DEV1024
TXN1000088,ACC100608,ACC100049,5519.79,2026-06-19 03:41:00,UPI,DEV1024
TXN1000089,ACC100706,ACC100118,1276.85,2026-04-17 15:09:00,CARD,DEV1063
TXN1000090,ACC100560,ACC100258,440.73,2026-05-02 23:57:00,IMPS,DEV1105
TXN1000091,ACC100711,ACC100702,1092.23,2026-06-11 00:19:00,NEFT,DEV1215
TXN1000092,ACC100677,ACC100103,1009.51,2026-06-19 17:45:00,NEFT,DEV1070
TXN1000093,ACC100428,ACC100850,49.71,2026-01-27 17:27:00,BANK_TRANSFER,DEV1060
TXN1000094,ACC100289,ACC100116,559.12,2026-01-28 16:59:00,IMPS,DEV1102
TXN1000095,ACC100796,ACC100269,1598.86,2026-05-14 06:53:00,NEFT,DEV1209
TXN1000096,ACC100302,ACC100164,659.14,2026-01-11 18:42:00,CARD,DEV1106
TXN1000097,ACC100704,ACC100955,505.0,2026-05-04 11:17:00,IMPS,DEV1001
TXN1000098,ACC100013,ACC100687,3273.62,2026-01-23 03:46:00,BANK_TRANSFER,DEV1252
TXN1000099,ACC100152,ACC100972,365.09,2026-01-24 17:27:00,UPI,DEV1051
TXN1000100,ACC100926,ACC100262,2575.88,2026-06-14 07:53:00,CARD,DEV1151
TXN1000101,ACC100270,ACC100475,221.56,2026-01-13 03:24:00,IMPS,DEV1020
TXN1000102,ACC100872,ACC100297,30119.09,2026-04-03 23:06:00,NEFT,DEV1218
TXN1000103,ACC100756,ACC100118,846.56,2026-01-25 01:33:00,UPI,DEV1070
TXN1000104,ACC100679,ACC100662,744.03,2026-02-13 11:13:00,NEFT,DEV1224
TXN1000105,ACC100978,ACC100636,4322.89,2026-03-10 03:10:00,NEFT,DEV1175
TXN1000106,ACC100187,ACC100116,663.52,2026-04-13 13:39:00,CARD,DEV1139
TXN1000107,ACC100855,ACC100394,6284.95,2026-06-26 16:19:00,CARD,DEV1085
TXN1000108,ACC100115,ACC100135,1712.85,2026-06-28 02:00:00,IMPS,DEV1053
TXN1000109,ACC100426,ACC100933,951.39,2026-06-01 16:28:00,BANK_TRANSFER,DEV1224
TXN1000110,ACC100185,ACC100625,837.14,2026-04-08 12:14:00,BANK_TRANSFER,DEV1014
TXN1000111,ACC100883,ACC100700,4670.92,2026-02-03 16:29:00,CARD,DEV1057
TXN1000112,ACC100908,ACC100421,1446.04,2026-04-23 01:34:00,UPI,DEV1133
TXN1000113,ACC100670,ACC100321,1842.3,2026-01-04 23:08:00,BANK_TRANSFER,DEV1295
TXN1000114,ACC100741,ACC100578,2098.97,2026-02-27 22:51:00,NEFT,DEV1265
TXN1000115,ACC100535,ACC100704,1286.3,2026-06-29 21:06:00,UPI,DEV1221
TXN1000116,ACC100677,ACC100744,2046.42,2026-03-05 16:26:00,NEFT,DEV1197
TXN1000117,ACC100152,ACC100859,951.47,2026-05-23 20:55:00,UPI,DEV1005
TXN1000118,ACC100658,ACC100956,1033.01,2026-02-10 17:15:00,CARD,DEV1253
TXN1000119,ACC100890,ACC100169,286.31,2026-01-20 16:46:00,NEFT,DEV1123
TXN1000120,ACC100338,ACC100993,1567.62,2026-03-13 01:43:00,BANK_TRANSFER,DEV1114
TXN1000121,ACC100563,ACC100658,139.29,2026-04-07 13:45:00,IMPS,DEV1040
TXN1000122,ACC100470,ACC100454,1541.13,2026-05-27 15:17:00,UPI,DEV1255
TXN1000123,ACC100457,ACC100323,783.1,2026-01-31 16:58:00,UPI,DEV1052
TXN1000124,ACC100413,ACC100422,1719.01,2026-01-10 19:01:00,BANK_TRANSFER,DEV1000
TXN1000125,ACC100845,ACC100093,311.5,2026-06-04 21:07:00,NEFT,DEV1260
TXN1000126,ACC100575,ACC100211,86.21,2026-06-17 22:55:00,CARD,DEV1174
TXN1000127,ACC100372,ACC100845,719.79,2026-01-14 07:36:00,CARD,DEV1169
TXN1000128,ACC100573,ACC100785,312.59,2026-06-08 20:28:00,CARD,DEV1186
TXN1000129,ACC100733,ACC100463,129.45,2026-01-30 03:19:00,IMPS,DEV1001
TXN1000130,ACC100349,ACC100363,2756.12,2026-06-12 09:57:00,BANK_TRANSFER,DEV1267
TXN1000131,ACC100382,ACC100718,7491.21,2026-01-28 01:33:00,IMPS,DEV1252
TXN1000132,ACC100143,ACC100841,421.43,2026-04-15 03:39:00,NEFT,DEV1100
TXN1000133,ACC100192,ACC100123,1001.32,2026-04-11 07:21:00,CARD,DEV1097
TXN1000134,ACC100733,ACC100346,757.98,2026-01-28 14:08:00,UPI,DEV1063
TXN1000135,ACC100790,ACC100913,497.36,2026-04-26 15:36:00,BANK_TRANSFER,DEV1258
TXN1000136,ACC100137,ACC100986,2432.04,2026-05-08 00:08:00,BANK_TRANSFER,DEV1024
TXN1000137,ACC100566,ACC100957,3685.53,2026-04-21 19:58:00,CARD,DEV1260
TXN1000138,ACC100799,ACC100943,386.71,2026-02-15 23:36:00,BANK_TRANSFER,DEV1088
TXN1000139,ACC100748,ACC100834,1157.16,2026-02-02 03:32:00,CARD,DEV1164
TXN1000140,ACC100516,ACC100902,5122.71,2026-04-09 14:17:00,BANK_TRANSFER,DEV1127
TXN1000141,ACC100280,ACC100407,2507.0,2026-03-29 10:02:00,CARD,DEV1068
TXN1000142,ACC100141,ACC100422,2996.61,2026-06-04 23:53:00,BANK_TRANSFER,DEV1153
TXN1000143,ACC100863,ACC100718,5662.28,2026-05-21 10:42:00,BANK_TRANSFER,DEV1111
TXN1000144,ACC100205,ACC100214,5573.7,2026-06-09 09:55:00,NEFT,DEV1067
TXN1000145,ACC100727,ACC100665,3768.27,2026-02-15 17:11:00,BANK_TRANSFER,DEV1165
TXN1000146,ACC100727,ACC100118,1304.96,2026-04-01 19:11:00,CARD,DEV1298
TXN1000147,ACC100584,ACC100965,692.99,2026-06-20 14:14:00,BANK_TRANSFER,DEV1146
TXN1000148,ACC100898,ACC100867,1241.62,2026-04-19 00:26:00,BANK_TRANSFER,DEV1054
TXN1000149,ACC100025,ACC100390,577.5,2026-02-07 01:48:00,UPI,DEV1102
TXN1000150,ACC100273,ACC100768,105.32,2026-02-11 09:46:00,NEFT,DEV1074
TXN1000151,ACC100859,ACC100063,784.15,2026-06-26 10:04:00,IMPS,DEV1277
TXN1000152,ACC100033,ACC100367,1684.18,2026-04-26 03:29:00,BANK_TRANSFER,DEV1287
TXN1000153,ACC100885,ACC100229,542.01,2026-06-15 19:09:00,CARD,DEV1121
TXN1000154,ACC100523,ACC100803,870.15,2026-06-28 09:49:00,UPI,DEV1195
TXN1000155,ACC100396,ACC100426,911.56,2026-06-25 10:40:00,BANK_TRANSFER,DEV1027
TXN1000156,ACC100013,ACC100761,5587.17,2026-03-06 06:55:00,BANK_TRANSFER,DEV1226
TXN1000157,ACC100849,ACC100230,712.43,2026-06-12 22:06:00,NEFT,DEV1279
TXN1000158,ACC100756,ACC100617,5585.67,2026-02-20 06:36:00,NEFT,DEV1229
TXN1000159,ACC100181,ACC100699,42.31,2026-01-20 06:22:00,IMPS,DEV1263
TXN1000160,ACC100122,ACC100386,5527.15,2026-01-11 14:37:00,NEFT,DEV1284
TXN1000161,ACC100270,ACC100133,5202.46,2026-02-11 19:56:00,NEFT,DEV1002
TXN1000162,ACC100338,ACC100477,3237.98,2026-02-09 01:21:00,IMPS,DEV1165
TXN1000163,ACC100611,ACC100052,98.07,2026-06-10 21:00:00,NEFT,DEV1251
TXN1000164,ACC100808,ACC100586,3724.41,2026-05-21 12:13:00,UPI,DEV1162
TXN1000165,ACC100538,ACC100225,1032.62,2026-02-17 17:46:00,UPI,DEV1258
TXN1000166,ACC100163,ACC100425,52.71,2026-05-20 18:19:00,CARD,DEV1047
TXN1000167,ACC100357,ACC100226,5207.28,2026-02-24 22:38:00,NEFT,DEV1169
TXN1000168,ACC100369,ACC100300,6204.36,2026-02-25 21:06:00,BANK_TRANSFER,DEV1243
TXN1000169,ACC100574,ACC100843,111.56,2026-06-16 00:18:00,UPI,DEV1177
TXN1000170,ACC100456,ACC100246,1353.58,2026-06-14 20:56:00,BANK_TRANSFER,DEV1124
TXN1000171,ACC100981,ACC100040,5804.04,2026-06-24 10:57:00,CARD,DEV1058
TXN1000172,ACC100395,ACC100262,4799.15,2026-05-19 09:39:00,UPI,DEV1264
TXN1000173,ACC100841,ACC100788,2990.73,2026-04-06 17:33:00,BANK_TRANSFER,DEV1228
TXN1000174,ACC100498,ACC100044,45.75,2026-03-17 22:14:00,IMPS,DEV1164
TXN1000175,ACC100526,ACC100084,2631.87,2026-01-25 05:42:00,BANK_TRANSFER,DEV1273
TXN1000176,ACC100007,ACC100641,844.1,2026-01-17 07:11:00,IMPS,DEV1217
TXN1000177,ACC100855,ACC100106,3622.9,2026-02-22 18:21:00,CARD,DEV1036
TXN1000178,ACC100764,ACC100702,1491.29,2026-02-09 00:48:00,CARD,DEV1169
TXN1000179,ACC100038,ACC100089,1070.78,2026-01-19 01:51:00,IMPS,DEV1128
TXN1000180,ACC100571,ACC100072,2366.3,2026-05-28 07:46:00,NEFT,DEV1208
TXN1000181,ACC100397,ACC100461,892.21,2026-06-11 13:48:00,CARD,DEV1161
TXN1000182,ACC100017,ACC100398,1065.15,2026-06-22 04:02:00,BANK_TRANSFER,DEV1003
TXN1000183,ACC100656,ACC100737,563.25,2026-06-08 02:09:00,BANK_TRANSFER,DEV1023
TXN1000184,ACC100717,ACC100868,159.73,2026-01-19 12:12:00,BANK_TRANSFER,DEV1054
TXN1000185,ACC100296,ACC100805,2167.7,2026-06-25 10:17:00,BANK_TRANSFER,DEV1044
TXN1000186,ACC100288,ACC100783,416.87,2026-04-23 13:01:00,CARD,DEV1015
TXN1000187,ACC100485,ACC100160,861.82,2026-05-17 07:30:00,IMPS,DEV1200
TXN1000188,ACC100815,ACC100816,1547.46,2026-05-20 10:04:00,IMPS,DEV1152
TXN1000189,ACC100693,ACC100908,89.81,2026-06-15 12:44:00,UPI,DEV1283
TXN1000190,ACC100895,ACC100568,117.49,2026-02-06 04:12:00,UPI,DEV1002
TXN1000191,ACC100586,ACC100610,765.34,2026-04-11 18:20:00,BANK_TRANSFER,DEV1043
TXN1000192,ACC100312,ACC100215,1892.16,2026-03-30 07:13:00,CARD,DEV1262
TXN1000193,ACC100145,ACC100164,2678.05,2026-02-17 07:32:00,BANK_TRANSFER,DEV1129
TXN1000194,ACC100198,ACC100117,162.46,2026-02-16 22:54:00,BANK_TRANSFER,DEV1027
TXN1000195,ACC100871,ACC100769,2354.2,2026-05-21 15:44:00,BANK_TRANSFER,DEV1037
TXN1000196,ACC100297,ACC100687,817.23,2026-01-18 08:33:00,UPI,DEV1101
TXN1000197,ACC100743,ACC100594,380.02,2026-05-05 11:17:00,NEFT,DEV1065
TXN1000198,ACC100687,ACC100671,503.58,2026-03-02 03:24:00,NEFT,DEV1035
TXN1000199,ACC100921,ACC100198,2870.46,2026-03-23 16:35:00,CARD,DEV1168
TXN1000200,ACC100631,ACC100675,1523.56,2026-03-20 23:40:00,BANK_TRANSFER,DEV1078
TXN1000201,ACC100579,ACC100580,1164.87,2026-04-04 10:47:00,CARD,DEV1086
TXN1000202,ACC100004,ACC100320,1468.79,2026-03-05 07:33:00,CARD,DEV1141
TXN1000203,ACC100860,ACC100368,3339.97,2026-02-04 23:11:00,NEFT,DEV1245
TXN1000204,ACC100473,ACC100456,976.02,2026-04-02 10:25:00,CARD,DEV1282
TXN1000205,ACC100111,ACC100179,1170.5,2026-06-15 20:42:00,UPI,DEV1143
TXN1000206,ACC100879,ACC100846,4297.57,2026-02-05 18:23:00,IMPS,DEV1134
TXN1000207,ACC100751,ACC100907,736.64,2026-06-10 02:36:00,UPI,DEV1009
TXN1000208,ACC100869,ACC100519,2302.54,2026-06-11 01:03:00,BANK_TRANSFER,DEV1296
TXN1000209,ACC100414,ACC100787,599.18,2026-06-01 07:15:00,UPI,DEV1282
TXN1000210,ACC100266,ACC100556,665.78,2026-05-19 16:06:00,IMPS,DEV1187
TXN1000211,ACC100401,ACC100228,967.91,2026-05-31 09:55:00,IMPS,DEV1237
TXN1000212,ACC100513,ACC100522,2035.16,2026-01-24 13:32:00,NEFT,DEV1257
TXN1000213,ACC100010,ACC100678,4596.35,2026-03-03 20:57:00,IMPS,DEV1263
TXN1000214,ACC100143,ACC100456,1231.34,2026-02-10 06:06:00,BANK_TRANSFER,DEV1289
TXN1000215,ACC100675,ACC100893,181.31,2026-02-07 16:30:00,NEFT,DEV1020
TXN1000216,ACC100224,ACC100779,2339.6,2026-05-05 07:54:00,UPI,DEV1135
TXN1000217,ACC100378,ACC100239,20839.61,2026-01-11 22:49:00,IMPS,DEV1265
TXN1000218,ACC100929,ACC100810,1249.38,2026-04-03 13:14:00,CARD,DEV1232
TXN1000219,ACC100902,ACC100047,141.1,2026-01-11 22:08:00,NEFT,DEV1052
TXN1000220,ACC100720,ACC100991,1344.24,2026-05-14 21:37:00,NEFT,DEV1134
TXN1000221,ACC100592,ACC100557,1092.68,2026-05-26 05:56:00,CARD,DEV1193
TXN1000222,ACC100374,ACC100601,987.79,2026-06-17 02:39:00,BANK_TRANSFER,DEV1128
TXN1000223,ACC100385,ACC100996,3410.08,2026-02-27 17:37:00,CARD,DEV1180
TXN1000224,ACC100836,ACC100888,5732.63,2026-03-30 16:37:00,CARD,DEV1003
TXN1000225,ACC100513,ACC100903,2490.66,2026-02-05 15:00:00,IMPS,DEV1117
TXN1000226,ACC100078,ACC100526,934.8,2026-06-14 09:35:00,IMPS,DEV1076
TXN1000227,ACC100191,ACC100161,4233.63,2026-04-03 20:32:00,UPI,DEV1117
TXN1000228,ACC100424,ACC100830,182.62,2026-03-26 03:52:00,CARD,DEV1245
TXN1000229,ACC100490,ACC100215,464.39,2026-06-01 05:30:00,CARD,DEV1011
TXN1000230,ACC100249,ACC100044,530.83,2026-02-02 19:34:00,BANK_TRANSFER,DEV1082
TXN1000231,ACC100137,ACC100644,1056.65,2026-05-12 01:20:00,BANK_TRANSFER,DEV1075
TXN1000232,ACC100057,ACC100170,2014.41,2026-03-08 06:08:00,BANK_TRANSFER,DEV1207
TXN1000233,ACC100613,ACC100992,861.9,2026-05-25 21:45:00,UPI,DEV1145
TXN1000234,ACC100969,ACC100087,369.72,2026-02-25 15:19:00,BANK_TRANSFER,DEV1241
TXN1000235,ACC100888,ACC100493,3532.71,2026-02-13 07:29:00,CARD,DEV1073
TXN1000236,ACC100813,ACC100596,826.71,2026-02-16 21:16:00,BANK_TRANSFER,DEV1135
TXN1000237,ACC100171,ACC100741,1239.61,2026-06-25 11:41:00,CARD,DEV1035
TXN1000238,ACC100235,ACC100387,2124.48,2026-04-09 04:30:00,UPI,DEV1008
TXN1000239,ACC100207,ACC100535,1149.01,2026-05-10 23:21:00,CARD,DEV1076
TXN1000240,ACC100620,ACC100098,1155.08,2026-02-15 16:14:00,BANK_TRANSFER,DEV1019
TXN1000241,ACC100898,ACC100802,3776.56,2026-05-17 17:10:00,UPI,DEV1047
TXN1000242,ACC100493,ACC100675,1315.07,2026-02-03 20:35:00,BANK_TRANSFER,DEV1000
TXN1000243,ACC100918,ACC100960,3088.24,2026-06-23 22:09:00,CARD,DEV1267
TXN1000244,ACC100430,ACC100379,2108.22,2026-01-12 23:48:00,BANK_TRANSFER,DEV1219
TXN1000245,ACC100234,ACC100960,12335.85,2026-05-04 13:00:00,NEFT,DEV1294
TXN1000246,ACC100100,ACC100435,1792.37,2026-02-04 08:41:00,CARD,DEV1119
TXN1000247,ACC100931,ACC100879,2358.0,2026-01-22 09:40:00,BANK_TRANSFER,DEV1278
TXN1000248,ACC100418,ACC100263,4113.33,2026-02-18 00:11:00,UPI,DEV1295
TXN1000249,ACC100535,ACC100120,1183.63,2026-05-14 00:14:00,CARD,DEV1105
TXN1000250,ACC100704,ACC100823,510.08,2026-03-22 13:57:00,NEFT,DEV1054
TXN1000251,ACC100158,ACC100436,620.81,2026-06-16 19:58:00,NEFT,DEV1133
TXN1000252,ACC100875,ACC100548,628.03,2026-04-19 19:16:00,NEFT,DEV1141
TXN1000253,ACC100696,ACC100406,350.58,2026-02-22 14:06:00,BANK_TRANSFER,DEV1285
TXN1000254,ACC100494,ACC100183,1605.78,2026-04-05 19:05:00,BANK_TRANSFER,DEV1247
TXN1000255,ACC100259,ACC100314,515.21,2026-05-28 11:45:00,CARD,DEV1070
TXN1000256,ACC100875,ACC100884,1385.51,2026-06-18 04:03:00,IMPS,DEV1228
TXN1000257,ACC100801,ACC100716,906.5,2026-02-11 03:25:00,IMPS,DEV1260
TXN1000258,ACC100410,ACC100804,1043.21,2026-03-28 18:47:00,BANK_TRANSFER,DEV1026
TXN1000259,ACC100164,ACC100398,2137.23,2026-06-12 00:10:00,UPI,DEV1074
TXN1000260,ACC100482,ACC100948,572.33,2026-06-03 14:51:00,UPI,DEV1032
TXN1000261,ACC100269,ACC100227,2360.6,2026-04-05 02:43:00,BANK_TRANSFER,DEV1019
TXN1000262,ACC100741,ACC100393,7192.32,2026-04-13 20:57:00,BANK_TRANSFER,DEV1146
TXN1000263,ACC100728,ACC100986,1655.29,2026-06-02 01:57:00,IMPS,DEV1253
TXN1000264,ACC100449,ACC100010,429.01,2026-02-21 22:25:00,BANK_TRANSFER,DEV1146
TXN1000265,ACC100199,ACC100034,524.26,2026-06-03 17:25:00,BANK_TRANSFER,DEV1118
TXN1000266,ACC100629,ACC100173,814.1,2026-06-22 01:13:00,NEFT,DEV1122
TXN1000267,ACC100670,ACC100000,537.07,2026-02-10 02:57:00,NEFT,DEV1204
TXN1000268,ACC100361,ACC100685,333.81,2026-04-12 13:50:00,BANK_TRANSFER,DEV1102
TXN1000269,ACC100530,ACC100015,1319.87,2026-06-30 02:20:00,UPI,DEV1281
TXN1000270,ACC100291,ACC100743,840.98,2026-05-24 19:53:00,NEFT,DEV1177
TXN1000271,ACC100986,ACC100835,1377.0,2026-03-12 07:43:00,BANK_TRANSFER,DEV1099
TXN1000272,ACC100465,ACC100952,4553.56,2026-04-14 19:37:00,UPI,DEV1133
TXN1000273,ACC100179,ACC100416,825.82,2026-05-10 03:38:00,BANK_TRANSFER,DEV1037
TXN1000274,ACC100515,ACC100301,264.41,2026-03-29 03:59:00,BANK_TRANSFER,DEV1131
TXN1000275,ACC100897,ACC100550,679.48,2026-05-28 08:32:00,CARD,DEV1193
TXN1000276,ACC100576,ACC100495,2764.21,2026-03-04 11:35:00,CARD,DEV1235
TXN1000277,ACC100918,ACC100600,2470.37,2026-01-08 16:27:00,UPI,DEV1132
TXN1000278,ACC100069,ACC100391,2043.39,2026-06-12 07:31:00,IMPS,DEV1161
TXN1000279,ACC100422,ACC100978,518.2,2026-04-01 17:37:00,BANK_TRANSFER,DEV1004
TXN1000280,ACC100717,ACC100852,2703.45,2026-03-09 08:28:00,NEFT,DEV1047
TXN1000281,ACC100408,ACC100689,3541.41,2026-03-29 02:35:00,BANK_TRANSFER,DEV1091
TXN1000282,ACC100487,ACC100321,476.04,2026-04-01 07:27:00,BANK_TRANSFER,DEV1137
TXN1000283,ACC100187,ACC100969,1043.27,2026-06-24 06:29:00,CARD,DEV1102
TXN1000284,ACC100240,ACC100753,12387.99,2026-03-03 09:03:00,IMPS,DEV1117
